method,weight,blackbox_fd_asr,blackbox_base_asr,source_model,regularization,seed,num_blackbox_targets
mifgsm,0.001,49.9867,47.5400,resnet50,KL,1111,15
mifgsm,0.01,50.0933,47.5400,resnet50,KL,1111,15
mifgsm,0.1,50.2067,47.5400,resnet50,KL,1111,15
mifgsm,1,50.0600,47.5400,resnet50,KL,1111,15
mifgsm,10,49.9600,47.5400,resnet50,KL,1111,15
mifgsm,100,47.7067,47.5400,resnet50,KL,1111,15
mifgsm,1000,40.9800,47.5400,resnet50,KL,1111,15
difgsm,0.001,64.5800,62.2733,resnet50,KL,1111,15
difgsm,0.01,64.6000,62.2733,resnet50,KL,1111,15
difgsm,0.1,63.3333,62.2733,resnet50,KL,1111,15
difgsm,1,58.2333,62.2733,resnet50,KL,1111,15
difgsm,10,53.4333,62.2733,resnet50,KL,1111,15
difgsm,100,51.2467,62.2733,resnet50,KL,1111,15
difgsm,1000,47.3200,62.2733,resnet50,KL,1111,15
tifgsm,0.001,52.2733,49.5867,resnet50,KL,1111,15
tifgsm,0.01,52.2733,49.5867,resnet50,KL,1111,15
tifgsm,0.1,51.5533,49.5867,resnet50,KL,1111,15
tifgsm,1,47.4000,49.5867,resnet50,KL,1111,15
tifgsm,10,43.5667,49.5867,resnet50,KL,1111,15
tifgsm,100,41.9133,49.5867,resnet50,KL,1111,15
tifgsm,1000,38.8533,49.5867,resnet50,KL,1111,15
nifgsm,0.001,53.6667,51.3133,resnet50,KL,1111,15
nifgsm,0.01,53.9333,51.3133,resnet50,KL,1111,15
nifgsm,0.1,53.7733,51.3133,resnet50,KL,1111,15
nifgsm,1,53.6400,51.3133,resnet50,KL,1111,15
nifgsm,10,53.4933,51.3133,resnet50,KL,1111,15
nifgsm,100,51.5933,51.3133,resnet50,KL,1111,15
nifgsm,1000,48.3933,51.3133,resnet50,KL,1111,15
sinifgsm,0.001,62.5800,57.2200,resnet50,KL,1111,15
sinifgsm,0.01,62.6933,57.2200,resnet50,KL,1111,15
sinifgsm,0.1,62.0867,57.2200,resnet50,KL,1111,15
sinifgsm,1,60.6400,57.2200,resnet50,KL,1111,15
sinifgsm,10,58.4533,57.2200,resnet50,KL,1111,15
sinifgsm,100,58.2733,57.2200,resnet50,KL,1111,15
sinifgsm,1000,58.1067,57.2200,resnet50,KL,1111,15
vmifgsm,0.001,67.8467,66.3067,resnet50,KL,1111,15
vmifgsm,0.01,67.6067,66.3067,resnet50,KL,1111,15
vmifgsm,0.1,66.4867,66.3067,resnet50,KL,1111,15
vmifgsm,1,64.4800,66.3067,resnet50,KL,1111,15
vmifgsm,10,63.8600,66.3067,resnet50,KL,1111,15
vmifgsm,100,62.9000,66.3067,resnet50,KL,1111,15
vmifgsm,1000,60.4667,66.3067,resnet50,KL,1111,15
vnifgsm,0.001,68.8733,67.6133,resnet50,KL,1111,15
vnifgsm,0.01,69.0000,67.6133,resnet50,KL,1111,15
vnifgsm,0.1,69.3667,67.6133,resnet50,KL,1111,15
vnifgsm,1,67.4067,67.6133,resnet50,KL,1111,15
vnifgsm,10,66.8933,67.6133,resnet50,KL,1111,15
vnifgsm,100,66.0333,67.6133,resnet50,KL,1111,15
vnifgsm,1000,63.6000,67.6133,resnet50,KL,1111,15
