resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 76.8000, resnet50_adv_asr: 23.2000, resnet50_fdadv_acc: 72.0000, resnet50_fdadv_asr: 28.0000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 62.3000, densenet121_adv_asr: 37.7000, densenet121_fdadv_acc: 56.7000, densenet121_fdadv_asr: 43.3000
resnext50_benign_acc: 98.9000, resnext50_benign_asr: 1.1000, resnext50_adv_acc: 79.0000, resnext50_adv_asr: 21.0000, resnext50_fdadv_acc: 77.0000, resnext50_fdadv_asr: 23.0000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 40.6000, vgg19bn_adv_asr: 59.4000, vgg19bn_fdadv_acc: 36.9000, vgg19bn_fdadv_asr: 63.1000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 69.9000, incres_v2_adv_asr: 30.1000, incres_v2_fdadv_acc: 65.7000, incres_v2_fdadv_asr: 34.3000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 52.3000, inc_v3_adv_asr: 47.7000, inc_v3_fdadv_acc: 45.2000, inc_v3_fdadv_asr: 54.8000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 67.5000, inc_v4_adv_asr: 32.5000, inc_v4_fdadv_acc: 59.3000, inc_v4_fdadv_asr: 40.7000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 84.0000, resnet101_adv_asr: 16.0000, resnet101_fdadv_acc: 81.3000, resnet101_fdadv_asr: 18.7000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 87.0000, resnet152_adv_asr: 13.0000, resnet152_fdadv_acc: 83.8000, resnet152_fdadv_asr: 16.2000
adv_inception_v3_benign_acc: 89.0000, adv_inception_v3_benign_asr: 11.0000, adv_inception_v3_adv_acc: 44.7000, adv_inception_v3_adv_asr: 55.3000, adv_inception_v3_fdadv_acc: 32.2000, adv_inception_v3_fdadv_asr: 67.8000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 81.0000, ens_adv_inception_resnet_v2_adv_asr: 19.0000, ens_adv_inception_resnet_v2_fdadv_acc: 79.2000, ens_adv_inception_resnet_v2_fdadv_asr: 20.8000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 86.3000, visformer_small_adv_asr: 13.7000, visformer_small_fdadv_acc: 83.2000, visformer_small_fdadv_asr: 16.8000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 91.4000, vit_b_adv_asr: 8.6000, vit_b_fdadv_acc: 88.9000, vit_b_fdadv_asr: 11.1000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 88.9000, swin_b_adv_asr: 11.1000, swin_b_fdadv_acc: 86.4000, swin_b_fdadv_asr: 13.6000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 90.2000, pit_b_adv_asr: 9.8000, pit_b_fdadv_acc: 88.3000, pit_b_fdadv_asr: 11.7000
mobilenet_benign_acc: 55.7000, mobilenet_benign_asr: 44.3000, mobilenet_adv_acc: 35.1000, mobilenet_adv_asr: 64.9000, mobilenet_fdadv_acc: 32.0000, mobilenet_fdadv_asr: 68.0000
