resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 10.7000, resnet50_adv_asr: 89.3000, resnet50_fdadv_acc: 7.0000, resnet50_fdadv_asr: 93.0000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 0.1000, densenet121_adv_asr: 99.9000, densenet121_fdadv_acc: 0.0000, densenet121_fdadv_asr: 100.0000
resnext50_benign_acc: 98.9000, resnext50_benign_asr: 1.1000, resnext50_adv_acc: 15.0000, resnext50_adv_asr: 85.0000, resnext50_fdadv_acc: 9.8000, resnext50_fdadv_asr: 90.2000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 2.7000, vgg19bn_adv_asr: 97.3000, vgg19bn_fdadv_acc: 1.6000, vgg19bn_fdadv_asr: 98.4000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 25.4000, incres_v2_adv_asr: 74.6000, incres_v2_fdadv_acc: 21.9000, incres_v2_fdadv_asr: 78.1000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 13.8000, inc_v3_adv_asr: 86.2000, inc_v3_fdadv_acc: 11.1000, inc_v3_fdadv_asr: 88.9000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 17.2000, inc_v4_adv_asr: 82.8000, inc_v4_fdadv_acc: 14.0000, inc_v4_fdadv_asr: 86.0000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 23.6000, resnet101_adv_asr: 76.4000, resnet101_fdadv_acc: 16.3000, resnet101_fdadv_asr: 83.7000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 27.2000, resnet152_adv_asr: 72.8000, resnet152_fdadv_acc: 21.1000, resnet152_fdadv_asr: 78.9000
adv_inception_v3_benign_acc: 89.0000, adv_inception_v3_benign_asr: 11.0000, adv_inception_v3_adv_acc: 48.0000, adv_inception_v3_adv_asr: 52.0000, adv_inception_v3_fdadv_acc: 43.7000, adv_inception_v3_fdadv_asr: 56.3000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 68.7000, ens_adv_inception_resnet_v2_adv_asr: 31.3000, ens_adv_inception_resnet_v2_fdadv_acc: 66.2000, ens_adv_inception_resnet_v2_fdadv_asr: 33.8000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 32.5000, visformer_small_adv_asr: 67.5000, visformer_small_fdadv_acc: 25.5000, visformer_small_fdadv_asr: 74.5000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 55.5000, vit_b_adv_asr: 44.5000, vit_b_fdadv_acc: 53.1000, vit_b_fdadv_asr: 46.9000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 61.6000, swin_b_adv_asr: 38.4000, swin_b_fdadv_acc: 60.2000, swin_b_fdadv_asr: 39.8000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 48.9000, pit_b_adv_asr: 51.1000, pit_b_fdadv_acc: 45.5000, pit_b_fdadv_asr: 54.5000
mobilenet_benign_acc: 55.7000, mobilenet_benign_asr: 44.3000, mobilenet_adv_acc: 7.2000, mobilenet_adv_asr: 92.8000, mobilenet_fdadv_acc: 5.8000, mobilenet_fdadv_asr: 94.2000
