resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 67.7000, resnet50_adv_asr: 32.3000, resnet50_fdadv_acc: 63.3000, resnet50_fdadv_asr: 36.7000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 50.2000, densenet121_adv_asr: 49.8000, densenet121_fdadv_acc: 44.3000, densenet121_fdadv_asr: 55.7000
resnext50_benign_acc: 98.9000, resnext50_benign_asr: 1.1000, resnext50_adv_acc: 73.0000, resnext50_adv_asr: 27.0000, resnext50_fdadv_acc: 68.0000, resnext50_fdadv_asr: 32.0000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 32.7000, vgg19bn_adv_asr: 67.3000, vgg19bn_fdadv_acc: 31.4000, vgg19bn_fdadv_asr: 68.6000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 53.1000, incres_v2_adv_asr: 46.9000, incres_v2_fdadv_acc: 45.6000, incres_v2_fdadv_asr: 54.4000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 42.6000, inc_v3_adv_asr: 57.4000, inc_v3_fdadv_acc: 37.7000, inc_v3_fdadv_asr: 62.3000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 52.1000, inc_v4_adv_asr: 47.9000, inc_v4_fdadv_acc: 45.1000, inc_v4_fdadv_asr: 54.9000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 78.4000, resnet101_adv_asr: 21.6000, resnet101_fdadv_acc: 74.4000, resnet101_fdadv_asr: 25.6000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 79.4000, resnet152_adv_asr: 20.6000, resnet152_fdadv_acc: 76.7000, resnet152_fdadv_asr: 23.3000
adv_inception_v3_benign_acc: 89.0000, adv_inception_v3_benign_asr: 11.0000, adv_inception_v3_adv_acc: 51.9000, adv_inception_v3_adv_asr: 48.1000, adv_inception_v3_fdadv_acc: 49.0000, adv_inception_v3_fdadv_asr: 51.0000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 50.9000, ens_adv_inception_resnet_v2_adv_asr: 49.1000, ens_adv_inception_resnet_v2_fdadv_acc: 38.4000, ens_adv_inception_resnet_v2_fdadv_asr: 61.6000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 77.0000, visformer_small_adv_asr: 23.0000, visformer_small_fdadv_acc: 74.1000, visformer_small_fdadv_asr: 25.9000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 85.1000, vit_b_adv_asr: 14.9000, vit_b_fdadv_acc: 80.6000, vit_b_fdadv_asr: 19.4000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 86.0000, swin_b_adv_asr: 14.0000, swin_b_fdadv_acc: 83.0000, swin_b_fdadv_asr: 17.0000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 83.9000, pit_b_adv_asr: 16.1000, pit_b_fdadv_acc: 82.1000, pit_b_fdadv_asr: 17.9000
mobilenet_benign_acc: 55.7000, mobilenet_benign_asr: 44.3000, mobilenet_adv_acc: 31.5000, mobilenet_adv_asr: 68.5000, mobilenet_fdadv_acc: 29.3000, mobilenet_fdadv_asr: 70.7000
