resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 40.5000, resnet50_adv_asr: 59.5000, resnet50_fdadv_acc: 33.8000, resnet50_fdadv_asr: 66.2000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 23.9000, densenet121_adv_asr: 76.1000, densenet121_fdadv_acc: 22.5000, densenet121_fdadv_asr: 77.5000
resnext50_benign_acc: 98.9000, resnext50_benign_asr: 1.1000, resnext50_adv_acc: 42.9000, resnext50_adv_asr: 57.1000, resnext50_fdadv_acc: 36.2000, resnext50_fdadv_asr: 63.8000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 10.8000, vgg19bn_adv_asr: 89.2000, vgg19bn_fdadv_acc: 8.2000, vgg19bn_fdadv_asr: 91.8000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 36.6000, incres_v2_adv_asr: 63.4000, incres_v2_fdadv_acc: 31.4000, incres_v2_fdadv_asr: 68.6000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 23.7000, inc_v3_adv_asr: 76.3000, inc_v3_fdadv_acc: 20.2000, inc_v3_fdadv_asr: 79.8000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 5.9000, inc_v4_adv_asr: 94.1000, inc_v4_fdadv_acc: 1.7000, inc_v4_fdadv_asr: 98.3000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 50.3000, resnet101_adv_asr: 49.7000, resnet101_fdadv_acc: 44.4000, resnet101_fdadv_asr: 55.6000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 56.3000, resnet152_adv_asr: 43.7000, resnet152_fdadv_acc: 50.1000, resnet152_fdadv_asr: 49.9000
adv_inception_v3_benign_acc: 89.0000, adv_inception_v3_benign_asr: 11.0000, adv_inception_v3_adv_acc: 56.5000, adv_inception_v3_adv_asr: 43.5000, adv_inception_v3_fdadv_acc: 54.7000, adv_inception_v3_fdadv_asr: 45.3000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 76.6000, ens_adv_inception_resnet_v2_adv_asr: 23.4000, ens_adv_inception_resnet_v2_fdadv_acc: 73.5000, ens_adv_inception_resnet_v2_fdadv_asr: 26.5000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 58.1000, visformer_small_adv_asr: 41.9000, visformer_small_fdadv_acc: 49.3000, visformer_small_fdadv_asr: 50.7000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 75.9000, vit_b_adv_asr: 24.1000, vit_b_fdadv_acc: 68.2000, vit_b_fdadv_asr: 31.8000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 81.2000, swin_b_adv_asr: 18.8000, swin_b_fdadv_acc: 76.2000, swin_b_fdadv_asr: 23.8000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 67.8000, pit_b_adv_asr: 32.2000, pit_b_fdadv_acc: 65.0000, pit_b_fdadv_asr: 35.0000
mobilenet_benign_acc: 55.7000, mobilenet_benign_asr: 44.3000, mobilenet_adv_acc: 19.5000, mobilenet_adv_asr: 80.5000, mobilenet_fdadv_acc: 20.0000, mobilenet_fdadv_asr: 80.0000
