resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 39.0000, resnet50_adv_asr: 61.0000, resnet50_fdadv_acc: 36.3000, resnet50_fdadv_asr: 63.7000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 19.8000, densenet121_adv_asr: 80.2000, densenet121_fdadv_acc: 17.7000, densenet121_fdadv_asr: 82.3000
resnext50_benign_acc: 98.9000, resnext50_benign_asr: 1.1000, resnext50_adv_acc: 46.3000, resnext50_adv_asr: 53.7000, resnext50_fdadv_acc: 42.6000, resnext50_fdadv_asr: 57.4000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 5.7000, vgg19bn_adv_asr: 94.3000, vgg19bn_fdadv_acc: 6.3000, vgg19bn_fdadv_asr: 93.7000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 42.4000, incres_v2_adv_asr: 57.6000, incres_v2_fdadv_acc: 40.1000, incres_v2_fdadv_asr: 59.9000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 23.7000, inc_v3_adv_asr: 76.3000, inc_v3_fdadv_acc: 24.3000, inc_v3_fdadv_asr: 75.7000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 33.5000, inc_v4_adv_asr: 66.5000, inc_v4_fdadv_acc: 31.7000, inc_v4_fdadv_asr: 68.3000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 53.8000, resnet101_adv_asr: 46.2000, resnet101_fdadv_acc: 50.5000, resnet101_fdadv_asr: 49.5000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 57.0000, resnet152_adv_asr: 43.0000, resnet152_fdadv_acc: 56.1000, resnet152_fdadv_asr: 43.9000
adv_inception_v3_benign_acc: 89.0000, adv_inception_v3_benign_asr: 11.0000, adv_inception_v3_adv_acc: 49.8000, adv_inception_v3_adv_asr: 50.2000, adv_inception_v3_fdadv_acc: 53.2000, adv_inception_v3_fdadv_asr: 46.8000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 74.1000, ens_adv_inception_resnet_v2_adv_asr: 25.9000, ens_adv_inception_resnet_v2_fdadv_acc: 73.4000, ens_adv_inception_resnet_v2_fdadv_asr: 26.6000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 52.2000, visformer_small_adv_asr: 47.8000, visformer_small_fdadv_acc: 51.4000, visformer_small_fdadv_asr: 48.6000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 72.9000, vit_b_adv_asr: 27.1000, vit_b_fdadv_acc: 71.5000, vit_b_fdadv_asr: 28.5000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 75.3000, swin_b_adv_asr: 24.7000, swin_b_fdadv_acc: 76.0000, swin_b_fdadv_asr: 24.0000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 66.9000, pit_b_adv_asr: 33.1000, pit_b_fdadv_acc: 67.1000, pit_b_fdadv_asr: 32.9000
mobilenet_benign_acc: 55.7000, mobilenet_benign_asr: 44.3000, mobilenet_adv_acc: 0.0000, mobilenet_adv_asr: 100.0000, mobilenet_fdadv_acc: 0.0000, mobilenet_fdadv_asr: 100.0000
