resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 18.5000, resnet50_adv_asr: 81.5000, resnet50_fdadv_acc: 18.0000, resnet50_fdadv_asr: 82.0000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 17.9000, densenet121_adv_asr: 82.1000, densenet121_fdadv_acc: 15.9000, densenet121_fdadv_asr: 84.1000
resnext50_benign_acc: 98.9000, resnext50_benign_asr: 1.1000, resnext50_adv_acc: 17.9000, resnext50_adv_asr: 82.1000, resnext50_fdadv_acc: 16.7000, resnext50_fdadv_asr: 83.3000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 8.2000, vgg19bn_adv_asr: 91.8000, vgg19bn_fdadv_acc: 8.0000, vgg19bn_fdadv_asr: 92.0000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 31.8000, incres_v2_adv_asr: 68.2000, incres_v2_fdadv_acc: 29.6000, incres_v2_fdadv_asr: 70.4000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 23.1000, inc_v3_adv_asr: 76.9000, inc_v3_fdadv_acc: 22.9000, inc_v3_fdadv_asr: 77.1000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 23.9000, inc_v4_adv_asr: 76.1000, inc_v4_fdadv_acc: 22.0000, inc_v4_fdadv_asr: 78.0000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 23.0000, resnet101_adv_asr: 77.0000, resnet101_fdadv_acc: 23.2000, resnet101_fdadv_asr: 76.8000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 25.8000, resnet152_adv_asr: 74.2000, resnet152_fdadv_acc: 26.0000, resnet152_fdadv_asr: 74.0000
adv_inception_v3_benign_acc: 89.0000, adv_inception_v3_benign_asr: 11.0000, adv_inception_v3_adv_acc: 53.6000, adv_inception_v3_adv_asr: 46.4000, adv_inception_v3_fdadv_acc: 52.8000, adv_inception_v3_fdadv_asr: 47.2000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 73.1000, ens_adv_inception_resnet_v2_adv_asr: 26.9000, ens_adv_inception_resnet_v2_fdadv_acc: 72.7000, ens_adv_inception_resnet_v2_fdadv_asr: 27.3000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 13.8000, visformer_small_adv_asr: 86.2000, visformer_small_fdadv_acc: 12.3000, visformer_small_fdadv_asr: 87.7000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 32.1000, vit_b_adv_asr: 67.9000, vit_b_fdadv_acc: 31.5000, vit_b_fdadv_asr: 68.5000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 20.6000, swin_b_adv_asr: 79.4000, swin_b_fdadv_acc: 17.5000, swin_b_fdadv_asr: 82.5000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 0.3000, pit_b_adv_asr: 99.7000, pit_b_fdadv_acc: 0.0000, pit_b_fdadv_asr: 100.0000
mobilenet_benign_acc: 55.7000, mobilenet_benign_asr: 44.3000, mobilenet_adv_acc: 18.3000, mobilenet_adv_asr: 81.7000, mobilenet_fdadv_acc: 15.7000, mobilenet_fdadv_asr: 84.3000
