resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 0.6000, resnet50_adv_asr: 99.4000, resnet50_fdadv_acc: 1.8000, resnet50_fdadv_asr: 98.2000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 10.1000, densenet121_adv_asr: 89.9000, densenet121_fdadv_acc: 7.4000, densenet121_fdadv_asr: 92.6000
resnext50_benign_acc: 98.9000, resnext50_benign_asr: 1.1000, resnext50_adv_acc: 11.2000, resnext50_adv_asr: 88.8000, resnext50_fdadv_acc: 5.3000, resnext50_fdadv_asr: 94.7000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 7.7000, vgg19bn_adv_asr: 92.3000, vgg19bn_fdadv_acc: 7.3000, vgg19bn_fdadv_asr: 92.7000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 34.3000, incres_v2_adv_asr: 65.7000, incres_v2_fdadv_acc: 26.7000, incres_v2_fdadv_asr: 73.3000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 23.5000, inc_v3_adv_asr: 76.5000, inc_v3_fdadv_acc: 20.3000, inc_v3_fdadv_asr: 79.7000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 27.5000, inc_v4_adv_asr: 72.5000, inc_v4_fdadv_acc: 20.0000, inc_v4_fdadv_asr: 80.0000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 18.9000, resnet101_adv_asr: 81.1000, resnet101_fdadv_acc: 9.9000, resnet101_fdadv_asr: 90.1000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 21.5000, resnet152_adv_asr: 78.5000, resnet152_fdadv_acc: 12.1000, resnet152_fdadv_asr: 87.9000
adv_inception_v3_benign_acc: 89.0000, adv_inception_v3_benign_asr: 11.0000, adv_inception_v3_adv_acc: 57.0000, adv_inception_v3_adv_asr: 43.0000, adv_inception_v3_fdadv_acc: 55.7000, adv_inception_v3_fdadv_asr: 44.3000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 78.8000, ens_adv_inception_resnet_v2_adv_asr: 21.2000, ens_adv_inception_resnet_v2_fdadv_acc: 76.6000, ens_adv_inception_resnet_v2_fdadv_asr: 23.4000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 28.4000, visformer_small_adv_asr: 71.6000, visformer_small_fdadv_acc: 18.3000, visformer_small_fdadv_asr: 81.7000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 58.2000, vit_b_adv_asr: 41.8000, vit_b_fdadv_acc: 49.5000, vit_b_fdadv_asr: 50.5000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 52.8000, swin_b_adv_asr: 47.2000, swin_b_fdadv_acc: 42.0000, swin_b_fdadv_asr: 58.0000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 39.8000, pit_b_adv_asr: 60.2000, pit_b_fdadv_acc: 29.7000, pit_b_fdadv_asr: 70.3000
mobilenet_benign_acc: 55.7000, mobilenet_benign_asr: 44.3000, mobilenet_adv_acc: 17.3000, mobilenet_adv_asr: 82.7000, mobilenet_fdadv_acc: 18.9000, mobilenet_fdadv_asr: 81.1000
