resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 9.9000, resnet50_adv_asr: 90.1000, resnet50_fdadv_acc: 9.1000, resnet50_fdadv_asr: 90.9000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 10.8000, densenet121_adv_asr: 89.2000, densenet121_fdadv_acc: 10.8000, densenet121_fdadv_asr: 89.2000
resnext50_benign_acc: 98.9000, resnext50_benign_asr: 1.1000, resnext50_adv_acc: 2.5000, resnext50_adv_asr: 97.5000, resnext50_fdadv_acc: 2.6000, resnext50_fdadv_asr: 97.4000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 10.2000, vgg19bn_adv_asr: 89.8000, vgg19bn_fdadv_acc: 9.8000, vgg19bn_fdadv_asr: 90.2000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 34.7000, incres_v2_adv_asr: 65.3000, incres_v2_fdadv_acc: 32.9000, incres_v2_fdadv_asr: 67.1000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 24.8000, inc_v3_adv_asr: 75.2000, inc_v3_fdadv_acc: 24.5000, inc_v3_fdadv_asr: 75.5000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 26.1000, inc_v4_adv_asr: 73.9000, inc_v4_fdadv_acc: 23.1000, inc_v4_fdadv_asr: 76.9000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 17.1000, resnet101_adv_asr: 82.9000, resnet101_fdadv_acc: 15.0000, resnet101_fdadv_asr: 85.0000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 18.1000, resnet152_adv_asr: 81.9000, resnet152_fdadv_acc: 14.9000, resnet152_fdadv_asr: 85.1000
adv_inception_v3_benign_acc: 89.0000, adv_inception_v3_benign_asr: 11.0000, adv_inception_v3_adv_acc: 57.8000, adv_inception_v3_adv_asr: 42.2000, adv_inception_v3_fdadv_acc: 59.9000, adv_inception_v3_fdadv_asr: 40.1000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 78.9000, ens_adv_inception_resnet_v2_adv_asr: 21.1000, ens_adv_inception_resnet_v2_fdadv_acc: 76.8000, ens_adv_inception_resnet_v2_fdadv_asr: 23.2000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 25.0000, visformer_small_adv_asr: 75.0000, visformer_small_fdadv_acc: 23.4000, visformer_small_fdadv_asr: 76.6000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 57.5000, vit_b_adv_asr: 42.5000, vit_b_fdadv_acc: 53.6000, vit_b_fdadv_asr: 46.4000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 49.4000, swin_b_adv_asr: 50.6000, swin_b_fdadv_acc: 47.5000, swin_b_fdadv_asr: 52.5000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 36.5000, pit_b_adv_asr: 63.5000, pit_b_fdadv_acc: 34.4000, pit_b_fdadv_asr: 65.6000
mobilenet_benign_acc: 55.7000, mobilenet_benign_asr: 44.3000, mobilenet_adv_acc: 20.5000, mobilenet_adv_asr: 79.5000, mobilenet_fdadv_acc: 21.6000, mobilenet_fdadv_asr: 78.4000
