resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 29.4000, resnet50_adv_asr: 70.6000, resnet50_fdadv_acc: 29.8000, resnet50_fdadv_asr: 70.2000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 27.9000, densenet121_adv_asr: 72.1000, densenet121_fdadv_acc: 30.2000, densenet121_fdadv_asr: 69.8000
resnext50_benign_acc: 98.9000, resnext50_benign_asr: 1.1000, resnext50_adv_acc: 27.7000, resnext50_adv_asr: 72.3000, resnext50_fdadv_acc: 28.4000, resnext50_fdadv_asr: 71.6000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 14.5000, vgg19bn_adv_asr: 85.5000, vgg19bn_fdadv_acc: 14.9000, vgg19bn_fdadv_asr: 85.1000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 41.4000, incres_v2_adv_asr: 58.6000, incres_v2_fdadv_acc: 42.5000, incres_v2_fdadv_asr: 57.5000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 33.1000, inc_v3_adv_asr: 66.9000, inc_v3_fdadv_acc: 34.2000, inc_v3_fdadv_asr: 65.8000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 33.7000, inc_v4_adv_asr: 66.3000, inc_v4_fdadv_acc: 35.6000, inc_v4_fdadv_asr: 64.4000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 34.8000, resnet101_adv_asr: 65.2000, resnet101_fdadv_acc: 36.9000, resnet101_fdadv_asr: 63.1000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 38.1000, resnet152_adv_asr: 61.9000, resnet152_fdadv_acc: 39.7000, resnet152_fdadv_asr: 60.3000
adv_inception_v3_benign_acc: 89.0000, adv_inception_v3_benign_asr: 11.0000, adv_inception_v3_adv_acc: 62.6000, adv_inception_v3_adv_asr: 37.4000, adv_inception_v3_fdadv_acc: 63.0000, adv_inception_v3_fdadv_asr: 37.0000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 80.4000, ens_adv_inception_resnet_v2_adv_asr: 19.6000, ens_adv_inception_resnet_v2_fdadv_acc: 79.9000, ens_adv_inception_resnet_v2_fdadv_asr: 20.1000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 21.9000, visformer_small_adv_asr: 78.1000, visformer_small_fdadv_acc: 23.5000, visformer_small_fdadv_asr: 76.5000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 43.3000, vit_b_adv_asr: 56.7000, vit_b_fdadv_acc: 44.5000, vit_b_fdadv_asr: 55.5000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 1.6000, swin_b_adv_asr: 98.4000, swin_b_fdadv_acc: 1.5000, swin_b_fdadv_asr: 98.5000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 17.6000, pit_b_adv_asr: 82.4000, pit_b_fdadv_acc: 18.0000, pit_b_fdadv_asr: 82.0000
mobilenet_benign_acc: 55.7000, mobilenet_benign_asr: 44.3000, mobilenet_adv_acc: 23.1000, mobilenet_adv_asr: 76.9000, mobilenet_fdadv_acc: 24.8000, mobilenet_fdadv_asr: 75.2000
