resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 39.4000, resnet50_adv_asr: 60.6000, resnet50_fdadv_acc: 24.5000, resnet50_fdadv_asr: 75.5000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 27.7000, densenet121_adv_asr: 72.3000, densenet121_fdadv_acc: 18.8000, densenet121_fdadv_asr: 81.2000
resnext50_benign_acc: 98.9000, resnext50_benign_asr: 1.1000, resnext50_adv_acc: 45.8000, resnext50_adv_asr: 54.2000, resnext50_fdadv_acc: 29.6000, resnext50_fdadv_asr: 70.4000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 0.1000, vgg19bn_adv_asr: 99.9000, vgg19bn_fdadv_acc: 0.0000, vgg19bn_fdadv_asr: 100.0000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 56.0000, incres_v2_adv_asr: 44.0000, incres_v2_fdadv_acc: 45.3000, incres_v2_fdadv_asr: 54.7000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 36.5000, inc_v3_adv_asr: 63.5000, inc_v3_fdadv_acc: 29.2000, inc_v3_fdadv_asr: 70.8000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 40.7000, inc_v4_adv_asr: 59.3000, inc_v4_fdadv_acc: 27.5000, inc_v4_fdadv_asr: 72.5000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 54.9000, resnet101_adv_asr: 45.1000, resnet101_fdadv_acc: 37.6000, resnet101_fdadv_asr: 62.4000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 58.6000, resnet152_adv_asr: 41.4000, resnet152_fdadv_acc: 40.0000, resnet152_fdadv_asr: 60.0000
adv_inception_v3_benign_acc: 89.0000, adv_inception_v3_benign_asr: 11.0000, adv_inception_v3_adv_acc: 62.4000, adv_inception_v3_adv_asr: 37.6000, adv_inception_v3_fdadv_acc: 65.3000, adv_inception_v3_fdadv_asr: 34.7000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 82.5000, ens_adv_inception_resnet_v2_adv_asr: 17.5000, ens_adv_inception_resnet_v2_fdadv_acc: 81.4000, ens_adv_inception_resnet_v2_fdadv_asr: 18.6000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 64.4000, visformer_small_adv_asr: 35.6000, visformer_small_fdadv_acc: 51.7000, visformer_small_fdadv_asr: 48.3000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 80.6000, vit_b_adv_asr: 19.4000, vit_b_fdadv_acc: 76.2000, vit_b_fdadv_asr: 23.8000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 82.0000, swin_b_adv_asr: 18.0000, swin_b_fdadv_acc: 76.3000, swin_b_fdadv_asr: 23.7000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 72.7000, pit_b_adv_asr: 27.3000, pit_b_fdadv_acc: 67.7000, pit_b_fdadv_asr: 32.3000
mobilenet_benign_acc: 55.7000, mobilenet_benign_asr: 44.3000, mobilenet_adv_acc: 19.2000, mobilenet_adv_asr: 80.8000, mobilenet_fdadv_acc: 19.0000, mobilenet_fdadv_asr: 81.0000
