resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 11.1000, resnet50_adv_asr: 88.9000, resnet50_fdadv_acc: 9.1000, resnet50_fdadv_asr: 90.9000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 9.8000, densenet121_adv_asr: 90.2000, densenet121_fdadv_acc: 7.7000, densenet121_fdadv_asr: 92.3000
resnext50_benign_acc: 98.9000, resnext50_benign_asr: 1.1000, resnext50_adv_acc: 11.6000, resnext50_adv_asr: 88.4000, resnext50_fdadv_acc: 10.0000, resnext50_fdadv_asr: 90.0000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 5.1000, vgg19bn_adv_asr: 94.9000, vgg19bn_fdadv_acc: 3.9000, vgg19bn_fdadv_asr: 96.1000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 24.8000, incres_v2_adv_asr: 75.2000, incres_v2_fdadv_acc: 23.2000, incres_v2_fdadv_asr: 76.8000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 18.4000, inc_v3_adv_asr: 81.6000, inc_v3_fdadv_acc: 15.5000, inc_v3_fdadv_asr: 84.5000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 15.7000, inc_v4_adv_asr: 84.3000, inc_v4_fdadv_acc: 14.0000, inc_v4_fdadv_asr: 86.0000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 16.8000, resnet101_adv_asr: 83.2000, resnet101_fdadv_acc: 15.7000, resnet101_fdadv_asr: 84.3000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 18.7000, resnet152_adv_asr: 81.3000, resnet152_fdadv_acc: 16.9000, resnet152_fdadv_asr: 83.1000
adv_inception_v3_benign_acc: 89.0000, adv_inception_v3_benign_asr: 11.0000, adv_inception_v3_adv_acc: 47.2000, adv_inception_v3_adv_asr: 52.8000, adv_inception_v3_fdadv_acc: 45.4000, adv_inception_v3_fdadv_asr: 54.6000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 67.6000, ens_adv_inception_resnet_v2_adv_asr: 32.4000, ens_adv_inception_resnet_v2_fdadv_acc: 65.3000, ens_adv_inception_resnet_v2_fdadv_asr: 34.7000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 0.4000, visformer_small_adv_asr: 99.6000, visformer_small_fdadv_acc: 0.5000, visformer_small_fdadv_asr: 99.5000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 31.7000, vit_b_adv_asr: 68.3000, vit_b_fdadv_acc: 30.3000, vit_b_fdadv_asr: 69.7000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 19.7000, swin_b_adv_asr: 80.3000, swin_b_fdadv_acc: 19.1000, swin_b_fdadv_asr: 80.9000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 12.2000, pit_b_adv_asr: 87.8000, pit_b_fdadv_acc: 10.7000, pit_b_fdadv_asr: 89.3000
mobilenet_benign_acc: 55.7000, mobilenet_benign_asr: 44.3000, mobilenet_adv_acc: 11.5000, mobilenet_adv_asr: 88.5000, mobilenet_fdadv_acc: 10.3000, mobilenet_fdadv_asr: 89.7000
