resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 28.8000, resnet50_adv_asr: 71.2000, resnet50_fdadv_acc: 23.8000, resnet50_fdadv_asr: 76.2000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 19.9000, densenet121_adv_asr: 80.1000, densenet121_fdadv_acc: 17.4000, densenet121_fdadv_asr: 82.6000
resnext50_benign_acc: 98.9000, resnext50_benign_asr: 1.1000, resnext50_adv_acc: 28.3000, resnext50_adv_asr: 71.7000, resnext50_fdadv_acc: 23.0000, resnext50_fdadv_asr: 77.0000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 11.0000, vgg19bn_adv_asr: 89.0000, vgg19bn_fdadv_acc: 8.7000, vgg19bn_fdadv_asr: 91.3000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 34.1000, incres_v2_adv_asr: 65.9000, incres_v2_fdadv_acc: 28.9000, incres_v2_fdadv_asr: 71.1000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 25.6000, inc_v3_adv_asr: 74.4000, inc_v3_fdadv_acc: 22.6000, inc_v3_fdadv_asr: 77.4000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 27.4000, inc_v4_adv_asr: 72.6000, inc_v4_fdadv_acc: 22.2000, inc_v4_fdadv_asr: 77.8000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 34.4000, resnet101_adv_asr: 65.6000, resnet101_fdadv_acc: 27.5000, resnet101_fdadv_asr: 72.5000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 36.5000, resnet152_adv_asr: 63.5000, resnet152_fdadv_acc: 30.0000, resnet152_fdadv_asr: 70.0000
adv_inception_v3_benign_acc: 89.0000, adv_inception_v3_benign_asr: 11.0000, adv_inception_v3_adv_acc: 51.8000, adv_inception_v3_adv_asr: 48.2000, adv_inception_v3_fdadv_acc: 47.1000, adv_inception_v3_fdadv_asr: 52.9000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 72.6000, ens_adv_inception_resnet_v2_adv_asr: 27.4000, ens_adv_inception_resnet_v2_fdadv_acc: 70.4000, ens_adv_inception_resnet_v2_fdadv_asr: 29.6000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 24.6000, visformer_small_adv_asr: 75.4000, visformer_small_fdadv_acc: 18.9000, visformer_small_fdadv_asr: 81.1000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 1.1000, vit_b_adv_asr: 98.9000, vit_b_fdadv_acc: 0.2000, vit_b_fdadv_asr: 99.8000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 35.3000, swin_b_adv_asr: 64.7000, swin_b_fdadv_acc: 30.0000, swin_b_fdadv_asr: 70.0000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 27.6000, pit_b_adv_asr: 72.4000, pit_b_fdadv_acc: 22.9000, pit_b_fdadv_asr: 77.1000
mobilenet_benign_acc: 55.7000, mobilenet_benign_asr: 44.3000, mobilenet_adv_acc: 19.6000, mobilenet_adv_asr: 80.4000, mobilenet_fdadv_acc: 16.6000, mobilenet_fdadv_asr: 83.4000
