resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 79.6000, resnet50_adv_asr: 20.4000, resnet50_fdadv_acc: 81.1000, resnet50_fdadv_asr: 18.9000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 69.0000, densenet121_adv_asr: 31.0000, densenet121_fdadv_acc: 69.9000, densenet121_fdadv_asr: 30.1000
resnext50_benign_acc: 98.8000, resnext50_benign_asr: 1.2000, resnext50_adv_acc: 81.8000, resnext50_adv_asr: 18.2000, resnext50_fdadv_acc: 83.1000, resnext50_fdadv_asr: 16.9000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 51.4000, vgg19bn_adv_asr: 48.6000, vgg19bn_fdadv_acc: 52.3000, vgg19bn_fdadv_asr: 47.7000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 69.0000, incres_v2_adv_asr: 31.0000, incres_v2_fdadv_acc: 70.3000, incres_v2_fdadv_asr: 29.7000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 53.7000, inc_v3_adv_asr: 46.3000, inc_v3_fdadv_acc: 54.2000, inc_v3_fdadv_asr: 45.8000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 67.8000, inc_v4_adv_asr: 32.2000, inc_v4_fdadv_acc: 68.4000, inc_v4_fdadv_asr: 31.6000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 84.4000, resnet101_adv_asr: 15.6000, resnet101_fdadv_acc: 86.3000, resnet101_fdadv_asr: 13.7000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 87.4000, resnet152_adv_asr: 12.6000, resnet152_fdadv_acc: 88.0000, resnet152_fdadv_asr: 12.0000
adv_inception_v3_benign_acc: 88.9000, adv_inception_v3_benign_asr: 11.1000, adv_inception_v3_adv_acc: 1.3000, adv_inception_v3_adv_asr: 98.7000, adv_inception_v3_fdadv_acc: 1.7000, adv_inception_v3_fdadv_asr: 98.3000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 80.3000, ens_adv_inception_resnet_v2_adv_asr: 19.7000, ens_adv_inception_resnet_v2_fdadv_acc: 80.9000, ens_adv_inception_resnet_v2_fdadv_asr: 19.1000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 87.0000, visformer_small_adv_asr: 13.0000, visformer_small_fdadv_acc: 87.6000, visformer_small_fdadv_asr: 12.4000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 92.2000, vit_b_adv_asr: 7.8000, vit_b_fdadv_acc: 92.0000, vit_b_fdadv_asr: 8.0000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 89.8000, swin_b_adv_asr: 10.2000, swin_b_fdadv_acc: 90.2000, swin_b_fdadv_asr: 9.8000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 91.9000, pit_b_adv_asr: 8.1000, pit_b_fdadv_acc: 91.8000, pit_b_fdadv_asr: 8.2000
mobilenet_benign_acc: 55.8000, mobilenet_benign_asr: 44.2000, mobilenet_adv_acc: 44.7000, mobilenet_adv_asr: 55.3000, mobilenet_fdadv_acc: 45.5000, mobilenet_fdadv_asr: 54.5000
