resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 12.3000, resnet50_adv_asr: 87.7000, resnet50_fdadv_acc: 11.0000, resnet50_fdadv_asr: 89.0000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 0.0000, densenet121_adv_asr: 100.0000, densenet121_fdadv_acc: 0.0000, densenet121_fdadv_asr: 100.0000
resnext50_benign_acc: 98.8000, resnext50_benign_asr: 1.2000, resnext50_adv_acc: 15.8000, resnext50_adv_asr: 84.2000, resnext50_fdadv_acc: 13.4000, resnext50_fdadv_asr: 86.6000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 6.7000, vgg19bn_adv_asr: 93.3000, vgg19bn_fdadv_acc: 6.1000, vgg19bn_fdadv_asr: 93.9000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 26.8000, incres_v2_adv_asr: 73.2000, incres_v2_fdadv_acc: 23.2000, incres_v2_fdadv_asr: 76.8000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 18.4000, inc_v3_adv_asr: 81.6000, inc_v3_fdadv_acc: 15.9000, inc_v3_fdadv_asr: 84.1000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 20.5000, inc_v4_adv_asr: 79.5000, inc_v4_fdadv_acc: 16.8000, inc_v4_fdadv_asr: 83.2000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 21.9000, resnet101_adv_asr: 78.1000, resnet101_fdadv_acc: 18.8000, resnet101_fdadv_asr: 81.2000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 26.1000, resnet152_adv_asr: 73.9000, resnet152_fdadv_acc: 23.0000, resnet152_fdadv_asr: 77.0000
adv_inception_v3_benign_acc: 88.9000, adv_inception_v3_benign_asr: 11.1000, adv_inception_v3_adv_acc: 52.7000, adv_inception_v3_adv_asr: 47.3000, adv_inception_v3_fdadv_acc: 51.0000, adv_inception_v3_fdadv_asr: 49.0000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 72.1000, ens_adv_inception_resnet_v2_adv_asr: 27.9000, ens_adv_inception_resnet_v2_fdadv_acc: 69.1000, ens_adv_inception_resnet_v2_fdadv_asr: 30.9000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 37.1000, visformer_small_adv_asr: 62.9000, visformer_small_fdadv_acc: 32.9000, visformer_small_fdadv_asr: 67.1000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 63.9000, vit_b_adv_asr: 36.1000, vit_b_fdadv_acc: 61.5000, vit_b_fdadv_asr: 38.5000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 63.3000, swin_b_adv_asr: 36.7000, swin_b_fdadv_acc: 61.7000, swin_b_fdadv_asr: 38.3000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 57.1000, pit_b_adv_asr: 42.9000, pit_b_fdadv_acc: 52.4000, pit_b_fdadv_asr: 47.6000
mobilenet_benign_acc: 55.8000, mobilenet_benign_asr: 44.2000, mobilenet_adv_acc: 13.7000, mobilenet_adv_asr: 86.3000, mobilenet_fdadv_acc: 12.9000, mobilenet_fdadv_asr: 87.1000
