resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 72.4000, resnet50_adv_asr: 27.6000, resnet50_fdadv_acc: 72.4000, resnet50_fdadv_asr: 27.6000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 61.0000, densenet121_adv_asr: 39.0000, densenet121_fdadv_acc: 62.6000, densenet121_fdadv_asr: 37.4000
resnext50_benign_acc: 98.8000, resnext50_benign_asr: 1.2000, resnext50_adv_acc: 74.7000, resnext50_adv_asr: 25.3000, resnext50_fdadv_acc: 74.4000, resnext50_fdadv_asr: 25.6000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 46.3000, vgg19bn_adv_asr: 53.7000, vgg19bn_fdadv_acc: 47.2000, vgg19bn_fdadv_asr: 52.8000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 52.8000, incres_v2_adv_asr: 47.2000, incres_v2_fdadv_acc: 54.5000, incres_v2_fdadv_asr: 45.5000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 48.8000, inc_v3_adv_asr: 51.2000, inc_v3_fdadv_acc: 48.3000, inc_v3_fdadv_asr: 51.7000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 57.0000, inc_v4_adv_asr: 43.0000, inc_v4_fdadv_acc: 57.2000, inc_v4_fdadv_asr: 42.8000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 76.3000, resnet101_adv_asr: 23.7000, resnet101_fdadv_acc: 79.1000, resnet101_fdadv_asr: 20.9000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 79.1000, resnet152_adv_asr: 20.9000, resnet152_fdadv_acc: 79.9000, resnet152_fdadv_asr: 20.1000
adv_inception_v3_benign_acc: 88.9000, adv_inception_v3_benign_asr: 11.1000, adv_inception_v3_adv_acc: 55.7000, adv_inception_v3_adv_asr: 44.3000, adv_inception_v3_fdadv_acc: 53.2000, adv_inception_v3_fdadv_asr: 46.8000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 3.3000, ens_adv_inception_resnet_v2_adv_asr: 96.7000, ens_adv_inception_resnet_v2_fdadv_acc: 3.7000, ens_adv_inception_resnet_v2_fdadv_asr: 96.3000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 79.2000, visformer_small_adv_asr: 20.8000, visformer_small_fdadv_acc: 80.6000, visformer_small_fdadv_asr: 19.4000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 86.7000, vit_b_adv_asr: 13.3000, vit_b_fdadv_acc: 86.1000, vit_b_fdadv_asr: 13.9000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 87.1000, swin_b_adv_asr: 12.9000, swin_b_fdadv_acc: 87.0000, swin_b_fdadv_asr: 13.0000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 86.1000, pit_b_adv_asr: 13.9000, pit_b_fdadv_acc: 85.2000, pit_b_fdadv_asr: 14.8000
mobilenet_benign_acc: 55.8000, mobilenet_benign_asr: 44.2000, mobilenet_adv_acc: 44.4000, mobilenet_adv_asr: 55.6000, mobilenet_fdadv_acc: 43.1000, mobilenet_fdadv_asr: 56.9000
