resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 46.3000, resnet50_adv_asr: 53.7000, resnet50_fdadv_acc: 40.9000, resnet50_fdadv_asr: 59.1000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 32.1000, densenet121_adv_asr: 67.9000, densenet121_fdadv_acc: 28.8000, densenet121_fdadv_asr: 71.2000
resnext50_benign_acc: 98.8000, resnext50_benign_asr: 1.2000, resnext50_adv_acc: 49.8000, resnext50_adv_asr: 50.2000, resnext50_fdadv_acc: 44.7000, resnext50_fdadv_asr: 55.3000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 22.0000, vgg19bn_adv_asr: 78.0000, vgg19bn_fdadv_acc: 19.3000, vgg19bn_fdadv_asr: 80.7000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 28.8000, incres_v2_adv_asr: 71.2000, incres_v2_fdadv_acc: 28.0000, incres_v2_fdadv_asr: 72.0000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 0.9000, inc_v3_adv_asr: 99.1000, inc_v3_fdadv_acc: 1.1000, inc_v3_fdadv_asr: 98.9000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 25.6000, inc_v4_adv_asr: 74.4000, inc_v4_fdadv_acc: 22.4000, inc_v4_fdadv_asr: 77.6000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 53.1000, resnet101_adv_asr: 46.9000, resnet101_fdadv_acc: 49.2000, resnet101_fdadv_asr: 50.8000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 58.8000, resnet152_adv_asr: 41.2000, resnet152_fdadv_acc: 54.8000, resnet152_fdadv_asr: 45.2000
adv_inception_v3_benign_acc: 88.9000, adv_inception_v3_benign_asr: 11.1000, adv_inception_v3_adv_acc: 50.7000, adv_inception_v3_adv_asr: 49.3000, adv_inception_v3_fdadv_acc: 46.4000, adv_inception_v3_fdadv_asr: 53.6000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 73.1000, ens_adv_inception_resnet_v2_adv_asr: 26.9000, ens_adv_inception_resnet_v2_fdadv_acc: 71.9000, ens_adv_inception_resnet_v2_fdadv_asr: 28.1000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 64.1000, visformer_small_adv_asr: 35.9000, visformer_small_fdadv_acc: 59.2000, visformer_small_fdadv_asr: 40.8000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 77.9000, vit_b_adv_asr: 22.1000, vit_b_fdadv_acc: 74.8000, vit_b_fdadv_asr: 25.2000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 79.5000, swin_b_adv_asr: 20.5000, swin_b_fdadv_acc: 78.5000, swin_b_fdadv_asr: 21.5000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 70.4000, pit_b_adv_asr: 29.6000, pit_b_fdadv_acc: 69.2000, pit_b_fdadv_asr: 30.8000
mobilenet_benign_acc: 55.8000, mobilenet_benign_asr: 44.2000, mobilenet_adv_acc: 28.9000, mobilenet_adv_asr: 71.1000, mobilenet_fdadv_acc: 26.5000, mobilenet_fdadv_asr: 73.5000
