resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 47.3000, resnet50_adv_asr: 52.7000, resnet50_fdadv_acc: 43.1000, resnet50_fdadv_asr: 56.9000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 23.7000, densenet121_adv_asr: 76.3000, densenet121_fdadv_acc: 21.0000, densenet121_fdadv_asr: 79.0000
resnext50_benign_acc: 98.8000, resnext50_benign_asr: 1.2000, resnext50_adv_acc: 54.9000, resnext50_adv_asr: 45.1000, resnext50_fdadv_acc: 50.1000, resnext50_fdadv_asr: 49.9000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 10.2000, vgg19bn_adv_asr: 89.8000, vgg19bn_fdadv_acc: 9.2000, vgg19bn_fdadv_asr: 90.8000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 49.8000, incres_v2_adv_asr: 50.2000, incres_v2_fdadv_acc: 46.0000, incres_v2_fdadv_asr: 54.0000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 30.3000, inc_v3_adv_asr: 69.7000, inc_v3_fdadv_acc: 27.8000, inc_v3_fdadv_asr: 72.2000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 40.3000, inc_v4_adv_asr: 59.7000, inc_v4_fdadv_acc: 35.6000, inc_v4_fdadv_asr: 64.4000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 62.4000, resnet101_adv_asr: 37.6000, resnet101_fdadv_acc: 57.8000, resnet101_fdadv_asr: 42.2000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 67.7000, resnet152_adv_asr: 32.3000, resnet152_fdadv_acc: 64.7000, resnet152_fdadv_asr: 35.3000
adv_inception_v3_benign_acc: 88.9000, adv_inception_v3_benign_asr: 11.1000, adv_inception_v3_adv_acc: 55.2000, adv_inception_v3_adv_asr: 44.8000, adv_inception_v3_fdadv_acc: 54.6000, adv_inception_v3_fdadv_asr: 45.4000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 77.1000, ens_adv_inception_resnet_v2_adv_asr: 22.9000, ens_adv_inception_resnet_v2_fdadv_acc: 78.5000, ens_adv_inception_resnet_v2_fdadv_asr: 21.5000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 62.6000, visformer_small_adv_asr: 37.4000, visformer_small_fdadv_acc: 57.4000, visformer_small_fdadv_asr: 42.6000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 79.3000, vit_b_adv_asr: 20.7000, vit_b_fdadv_acc: 77.9000, vit_b_fdadv_asr: 22.1000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 76.5000, swin_b_adv_asr: 23.5000, swin_b_fdadv_acc: 74.6000, swin_b_fdadv_asr: 25.4000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 74.4000, pit_b_adv_asr: 25.6000, pit_b_fdadv_acc: 71.0000, pit_b_fdadv_asr: 29.0000
mobilenet_benign_acc: 55.8000, mobilenet_benign_asr: 44.2000, mobilenet_adv_acc: 0.0000, mobilenet_adv_asr: 100.0000, mobilenet_fdadv_acc: 0.0000, mobilenet_fdadv_asr: 100.0000
