resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 28.7000, resnet50_adv_asr: 71.3000, resnet50_fdadv_acc: 29.3000, resnet50_fdadv_asr: 70.7000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 29.5000, densenet121_adv_asr: 70.5000, densenet121_fdadv_acc: 27.3000, densenet121_fdadv_asr: 72.7000
resnext50_benign_acc: 98.8000, resnext50_benign_asr: 1.2000, resnext50_adv_acc: 27.2000, resnext50_adv_asr: 72.8000, resnext50_fdadv_acc: 28.4000, resnext50_fdadv_asr: 71.6000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 14.5000, vgg19bn_adv_asr: 85.5000, vgg19bn_fdadv_acc: 15.6000, vgg19bn_fdadv_asr: 84.4000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 38.7000, incres_v2_adv_asr: 61.3000, incres_v2_fdadv_acc: 38.7000, incres_v2_fdadv_asr: 61.3000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 30.6000, inc_v3_adv_asr: 69.4000, inc_v3_fdadv_acc: 31.2000, inc_v3_fdadv_asr: 68.8000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 34.5000, inc_v4_adv_asr: 65.5000, inc_v4_fdadv_acc: 34.2000, inc_v4_fdadv_asr: 65.8000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 34.9000, resnet101_adv_asr: 65.1000, resnet101_fdadv_acc: 34.8000, resnet101_fdadv_asr: 65.2000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 35.0000, resnet152_adv_asr: 65.0000, resnet152_fdadv_acc: 36.2000, resnet152_fdadv_asr: 63.8000
adv_inception_v3_benign_acc: 88.9000, adv_inception_v3_benign_asr: 11.1000, adv_inception_v3_adv_acc: 61.1000, adv_inception_v3_adv_asr: 38.9000, adv_inception_v3_fdadv_acc: 61.6000, adv_inception_v3_fdadv_asr: 38.4000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 78.1000, ens_adv_inception_resnet_v2_adv_asr: 21.9000, ens_adv_inception_resnet_v2_fdadv_acc: 76.9000, ens_adv_inception_resnet_v2_fdadv_asr: 23.1000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 23.1000, visformer_small_adv_asr: 76.9000, visformer_small_fdadv_acc: 23.4000, visformer_small_fdadv_asr: 76.6000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 43.3000, vit_b_adv_asr: 56.7000, vit_b_fdadv_acc: 43.5000, vit_b_fdadv_asr: 56.5000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 27.5000, swin_b_adv_asr: 72.5000, swin_b_fdadv_acc: 28.9000, swin_b_fdadv_asr: 71.1000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 0.0000, pit_b_adv_asr: 100.0000, pit_b_fdadv_acc: 0.0000, pit_b_fdadv_asr: 100.0000
mobilenet_benign_acc: 55.8000, mobilenet_benign_asr: 44.2000, mobilenet_adv_acc: 28.7000, mobilenet_adv_asr: 71.3000, mobilenet_fdadv_acc: 28.1000, mobilenet_fdadv_asr: 71.9000
