resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 21.9000, resnet50_adv_asr: 78.1000, resnet50_fdadv_acc: 22.0000, resnet50_fdadv_asr: 78.0000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 26.7000, densenet121_adv_asr: 73.3000, densenet121_fdadv_acc: 24.6000, densenet121_fdadv_asr: 75.4000
resnext50_benign_acc: 98.8000, resnext50_benign_asr: 1.2000, resnext50_adv_acc: 22.8000, resnext50_adv_asr: 77.2000, resnext50_fdadv_acc: 21.5000, resnext50_fdadv_asr: 78.5000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 21.2000, vgg19bn_adv_asr: 78.8000, vgg19bn_fdadv_acc: 18.6000, vgg19bn_fdadv_asr: 81.4000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 46.3000, incres_v2_adv_asr: 53.7000, incres_v2_fdadv_acc: 43.9000, incres_v2_fdadv_asr: 56.1000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 38.4000, inc_v3_adv_asr: 61.6000, inc_v3_fdadv_acc: 37.0000, inc_v3_fdadv_asr: 63.0000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 38.6000, inc_v4_adv_asr: 61.4000, inc_v4_fdadv_acc: 39.2000, inc_v4_fdadv_asr: 60.8000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 7.7000, resnet101_adv_asr: 92.3000, resnet101_fdadv_acc: 8.3000, resnet101_fdadv_asr: 91.7000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 22.5000, resnet152_adv_asr: 77.5000, resnet152_fdadv_acc: 21.5000, resnet152_fdadv_asr: 78.5000
adv_inception_v3_benign_acc: 88.9000, adv_inception_v3_benign_asr: 11.1000, adv_inception_v3_adv_acc: 66.9000, adv_inception_v3_adv_asr: 33.1000, adv_inception_v3_fdadv_acc: 67.0000, adv_inception_v3_fdadv_asr: 33.0000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 83.2000, ens_adv_inception_resnet_v2_adv_asr: 16.8000, ens_adv_inception_resnet_v2_fdadv_acc: 82.6000, ens_adv_inception_resnet_v2_fdadv_asr: 17.4000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 43.1000, visformer_small_adv_asr: 56.9000, visformer_small_fdadv_acc: 44.1000, visformer_small_fdadv_asr: 55.9000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 69.4000, vit_b_adv_asr: 30.6000, vit_b_fdadv_acc: 68.4000, vit_b_fdadv_asr: 31.6000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 58.1000, swin_b_adv_asr: 41.9000, swin_b_fdadv_acc: 58.7000, swin_b_fdadv_asr: 41.3000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 49.0000, pit_b_adv_asr: 51.0000, pit_b_fdadv_acc: 49.8000, pit_b_fdadv_asr: 50.2000
mobilenet_benign_acc: 55.8000, mobilenet_benign_asr: 44.2000, mobilenet_adv_acc: 34.3000, mobilenet_adv_asr: 65.7000, mobilenet_fdadv_acc: 30.0000, mobilenet_fdadv_asr: 70.0000
