resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 20.8000, resnet50_adv_asr: 79.2000, resnet50_fdadv_acc: 21.9000, resnet50_fdadv_asr: 78.1000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 25.8000, densenet121_adv_asr: 74.2000, densenet121_fdadv_acc: 24.9000, densenet121_fdadv_asr: 75.1000
resnext50_benign_acc: 98.8000, resnext50_benign_asr: 1.2000, resnext50_adv_acc: 4.0000, resnext50_adv_asr: 96.0000, resnext50_fdadv_acc: 5.6000, resnext50_fdadv_asr: 94.4000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 18.6000, vgg19bn_adv_asr: 81.4000, vgg19bn_fdadv_acc: 19.6000, vgg19bn_fdadv_asr: 80.4000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 46.9000, incres_v2_adv_asr: 53.1000, incres_v2_fdadv_acc: 46.0000, incres_v2_fdadv_asr: 54.0000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 40.6000, inc_v3_adv_asr: 59.4000, inc_v3_fdadv_acc: 38.2000, inc_v3_fdadv_asr: 61.8000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 39.6000, inc_v4_adv_asr: 60.4000, inc_v4_fdadv_acc: 38.7000, inc_v4_fdadv_asr: 61.3000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 24.6000, resnet101_adv_asr: 75.4000, resnet101_fdadv_acc: 24.4000, resnet101_fdadv_asr: 75.6000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 28.3000, resnet152_adv_asr: 71.7000, resnet152_fdadv_acc: 27.5000, resnet152_fdadv_asr: 72.5000
adv_inception_v3_benign_acc: 88.9000, adv_inception_v3_benign_asr: 11.1000, adv_inception_v3_adv_acc: 61.4000, adv_inception_v3_adv_asr: 38.6000, adv_inception_v3_fdadv_acc: 62.8000, adv_inception_v3_fdadv_asr: 37.2000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 83.8000, ens_adv_inception_resnet_v2_adv_asr: 16.2000, ens_adv_inception_resnet_v2_fdadv_acc: 83.2000, ens_adv_inception_resnet_v2_fdadv_asr: 16.8000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 46.8000, visformer_small_adv_asr: 53.2000, visformer_small_fdadv_acc: 45.4000, visformer_small_fdadv_asr: 54.6000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 71.6000, vit_b_adv_asr: 28.4000, vit_b_fdadv_acc: 70.1000, vit_b_fdadv_asr: 29.9000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 64.5000, swin_b_adv_asr: 35.5000, swin_b_fdadv_acc: 61.8000, swin_b_fdadv_asr: 38.2000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 53.3000, pit_b_adv_asr: 46.7000, pit_b_fdadv_acc: 52.7000, pit_b_fdadv_asr: 47.3000
mobilenet_benign_acc: 55.8000, mobilenet_benign_asr: 44.2000, mobilenet_adv_acc: 32.1000, mobilenet_adv_asr: 67.9000, mobilenet_fdadv_acc: 31.6000, mobilenet_fdadv_asr: 68.4000
