resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 48.8000, resnet50_adv_asr: 51.2000, resnet50_fdadv_acc: 51.7000, resnet50_fdadv_asr: 48.3000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 48.8000, densenet121_adv_asr: 51.2000, densenet121_fdadv_acc: 50.9000, densenet121_fdadv_asr: 49.1000
resnext50_benign_acc: 98.8000, resnext50_benign_asr: 1.2000, resnext50_adv_acc: 50.8000, resnext50_adv_asr: 49.2000, resnext50_fdadv_acc: 51.7000, resnext50_fdadv_asr: 48.3000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 27.7000, vgg19bn_adv_asr: 72.3000, vgg19bn_fdadv_acc: 27.6000, vgg19bn_fdadv_asr: 72.4000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 62.1000, incres_v2_adv_asr: 37.9000, incres_v2_fdadv_acc: 63.9000, incres_v2_fdadv_asr: 36.1000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 49.8000, inc_v3_adv_asr: 50.2000, inc_v3_fdadv_acc: 51.5000, inc_v3_fdadv_asr: 48.5000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 54.3000, inc_v4_adv_asr: 45.7000, inc_v4_fdadv_acc: 57.4000, inc_v4_fdadv_asr: 42.6000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 55.1000, resnet101_adv_asr: 44.9000, resnet101_fdadv_acc: 59.3000, resnet101_fdadv_asr: 40.7000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 56.3000, resnet152_adv_asr: 43.7000, resnet152_fdadv_acc: 59.4000, resnet152_fdadv_asr: 40.6000
adv_inception_v3_benign_acc: 88.9000, adv_inception_v3_benign_asr: 11.1000, adv_inception_v3_adv_acc: 69.8000, adv_inception_v3_adv_asr: 30.2000, adv_inception_v3_fdadv_acc: 70.3000, adv_inception_v3_fdadv_asr: 29.7000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 81.6000, ens_adv_inception_resnet_v2_adv_asr: 18.4000, ens_adv_inception_resnet_v2_fdadv_acc: 84.2000, ens_adv_inception_resnet_v2_fdadv_asr: 15.8000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 45.6000, visformer_small_adv_asr: 54.4000, visformer_small_fdadv_acc: 47.9000, visformer_small_fdadv_asr: 52.1000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 60.7000, vit_b_adv_asr: 39.3000, vit_b_fdadv_acc: 62.3000, vit_b_fdadv_asr: 37.7000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 0.4000, swin_b_adv_asr: 99.6000, swin_b_fdadv_acc: 0.6000, swin_b_fdadv_asr: 99.4000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 39.4000, pit_b_adv_asr: 60.6000, pit_b_fdadv_acc: 42.3000, pit_b_fdadv_asr: 57.7000
mobilenet_benign_acc: 55.8000, mobilenet_benign_asr: 44.2000, mobilenet_adv_acc: 35.9000, mobilenet_adv_asr: 64.1000, mobilenet_fdadv_acc: 36.1000, mobilenet_fdadv_asr: 63.9000
