resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 37.6000, resnet50_adv_asr: 62.4000, resnet50_fdadv_acc: 28.0000, resnet50_fdadv_asr: 72.0000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 25.3000, densenet121_adv_asr: 74.7000, densenet121_fdadv_acc: 17.2000, densenet121_fdadv_asr: 82.8000
resnext50_benign_acc: 98.8000, resnext50_benign_asr: 1.2000, resnext50_adv_acc: 44.0000, resnext50_adv_asr: 56.0000, resnext50_fdadv_acc: 30.9000, resnext50_fdadv_asr: 69.1000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 0.0000, vgg19bn_adv_asr: 100.0000, vgg19bn_fdadv_acc: 0.0000, vgg19bn_fdadv_asr: 100.0000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 49.4000, incres_v2_adv_asr: 50.6000, incres_v2_fdadv_acc: 42.5000, incres_v2_fdadv_asr: 57.5000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 34.9000, inc_v3_adv_asr: 65.1000, inc_v3_fdadv_acc: 28.1000, inc_v3_fdadv_asr: 71.9000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 37.2000, inc_v4_adv_asr: 62.8000, inc_v4_fdadv_acc: 29.5000, inc_v4_fdadv_asr: 70.5000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 53.1000, resnet101_adv_asr: 46.9000, resnet101_fdadv_acc: 40.2000, resnet101_fdadv_asr: 59.8000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 54.5000, resnet152_adv_asr: 45.5000, resnet152_fdadv_acc: 47.1000, resnet152_fdadv_asr: 52.9000
adv_inception_v3_benign_acc: 88.9000, adv_inception_v3_benign_asr: 11.1000, adv_inception_v3_adv_acc: 67.0000, adv_inception_v3_adv_asr: 33.0000, adv_inception_v3_fdadv_acc: 64.2000, adv_inception_v3_fdadv_asr: 35.8000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 82.5000, ens_adv_inception_resnet_v2_adv_asr: 17.5000, ens_adv_inception_resnet_v2_fdadv_acc: 81.5000, ens_adv_inception_resnet_v2_fdadv_asr: 18.5000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 59.8000, visformer_small_adv_asr: 40.2000, visformer_small_fdadv_acc: 50.9000, visformer_small_fdadv_asr: 49.1000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 80.6000, vit_b_adv_asr: 19.4000, vit_b_fdadv_acc: 76.7000, vit_b_fdadv_asr: 23.3000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 78.4000, swin_b_adv_asr: 21.6000, swin_b_fdadv_acc: 72.4000, swin_b_fdadv_asr: 27.6000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 69.1000, pit_b_adv_asr: 30.9000, pit_b_fdadv_acc: 64.3000, pit_b_fdadv_asr: 35.7000
mobilenet_benign_acc: 55.8000, mobilenet_benign_asr: 44.2000, mobilenet_adv_acc: 24.6000, mobilenet_adv_asr: 75.4000, mobilenet_fdadv_acc: 23.4000, mobilenet_fdadv_asr: 76.6000
