resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 36.5000, resnet50_adv_asr: 63.5000, resnet50_fdadv_acc: 35.1000, resnet50_fdadv_asr: 64.9000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 30.4000, densenet121_adv_asr: 69.6000, densenet121_fdadv_acc: 27.6000, densenet121_fdadv_asr: 72.4000
resnext50_benign_acc: 98.8000, resnext50_benign_asr: 1.2000, resnext50_adv_acc: 35.1000, resnext50_adv_asr: 64.9000, resnext50_fdadv_acc: 33.7000, resnext50_fdadv_asr: 66.3000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 19.7000, vgg19bn_adv_asr: 80.3000, vgg19bn_fdadv_acc: 19.8000, vgg19bn_fdadv_asr: 80.2000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 40.3000, incres_v2_adv_asr: 59.7000, incres_v2_fdadv_acc: 36.2000, incres_v2_fdadv_asr: 63.8000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 31.8000, inc_v3_adv_asr: 68.2000, inc_v3_fdadv_acc: 30.3000, inc_v3_fdadv_asr: 69.7000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 35.0000, inc_v4_adv_asr: 65.0000, inc_v4_fdadv_acc: 32.1000, inc_v4_fdadv_asr: 67.9000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 39.9000, resnet101_adv_asr: 60.1000, resnet101_fdadv_acc: 38.8000, resnet101_fdadv_asr: 61.2000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 40.1000, resnet152_adv_asr: 59.9000, resnet152_fdadv_acc: 37.2000, resnet152_fdadv_asr: 62.8000
adv_inception_v3_benign_acc: 88.9000, adv_inception_v3_benign_asr: 11.1000, adv_inception_v3_adv_acc: 55.5000, adv_inception_v3_adv_asr: 44.5000, adv_inception_v3_fdadv_acc: 54.5000, adv_inception_v3_fdadv_asr: 45.5000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 73.6000, ens_adv_inception_resnet_v2_adv_asr: 26.4000, ens_adv_inception_resnet_v2_fdadv_acc: 70.4000, ens_adv_inception_resnet_v2_fdadv_asr: 29.6000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 28.1000, visformer_small_adv_asr: 71.9000, visformer_small_fdadv_acc: 24.8000, visformer_small_fdadv_asr: 75.2000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 0.4000, vit_b_adv_asr: 99.6000, vit_b_fdadv_acc: 0.3000, vit_b_fdadv_asr: 99.7000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 30.8000, swin_b_adv_asr: 69.2000, swin_b_fdadv_acc: 27.3000, swin_b_fdadv_asr: 72.7000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 28.3000, pit_b_adv_asr: 71.7000, pit_b_fdadv_acc: 26.9000, pit_b_fdadv_asr: 73.1000
mobilenet_benign_acc: 55.8000, mobilenet_benign_asr: 44.2000, mobilenet_adv_acc: 26.8000, mobilenet_adv_asr: 73.2000, mobilenet_fdadv_acc: 25.7000, mobilenet_fdadv_asr: 74.3000
