resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 87.4000, resnet50_adv_asr: 12.6000, resnet50_fdadv_acc: 84.7000, resnet50_fdadv_asr: 15.3000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 76.9000, densenet121_adv_asr: 23.1000, densenet121_fdadv_acc: 75.8000, densenet121_fdadv_asr: 24.2000
resnext50_benign_acc: 98.9000, resnext50_benign_asr: 1.1000, resnext50_adv_acc: 89.7000, resnext50_adv_asr: 10.3000, resnext50_fdadv_acc: 88.5000, resnext50_fdadv_asr: 11.5000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 54.4000, vgg19bn_adv_asr: 45.6000, vgg19bn_fdadv_acc: 52.9000, vgg19bn_fdadv_asr: 47.1000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 83.5000, incres_v2_adv_asr: 16.5000, incres_v2_fdadv_acc: 80.1000, incres_v2_fdadv_asr: 19.9000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 66.8000, inc_v3_adv_asr: 33.2000, inc_v3_fdadv_acc: 63.7000, inc_v3_fdadv_asr: 36.3000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 81.0000, inc_v4_adv_asr: 19.0000, inc_v4_fdadv_acc: 77.8000, inc_v4_fdadv_asr: 22.2000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 91.7000, resnet101_adv_asr: 8.3000, resnet101_fdadv_acc: 89.7000, resnet101_fdadv_asr: 10.3000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 93.6000, resnet152_adv_asr: 6.4000, resnet152_fdadv_acc: 90.9000, resnet152_fdadv_asr: 9.1000
adv_inception_v3_benign_acc: 89.0000, adv_inception_v3_benign_asr: 11.0000, adv_inception_v3_adv_acc: 10.0000, adv_inception_v3_adv_asr: 90.0000, adv_inception_v3_fdadv_acc: 6.3000, adv_inception_v3_fdadv_asr: 93.7000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 83.3000, ens_adv_inception_resnet_v2_adv_asr: 16.7000, ens_adv_inception_resnet_v2_fdadv_acc: 81.1000, ens_adv_inception_resnet_v2_fdadv_asr: 18.9000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 93.1000, visformer_small_adv_asr: 6.9000, visformer_small_fdadv_acc: 90.8000, visformer_small_fdadv_asr: 9.2000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 95.0000, vit_b_adv_asr: 5.0000, vit_b_fdadv_acc: 94.7000, vit_b_fdadv_asr: 5.3000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 94.7000, swin_b_adv_asr: 5.3000, swin_b_fdadv_acc: 93.1000, swin_b_fdadv_asr: 6.9000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 93.7000, pit_b_adv_asr: 6.3000, pit_b_fdadv_acc: 92.5000, pit_b_fdadv_asr: 7.5000
mobilenet_benign_acc: 55.7000, mobilenet_benign_asr: 44.3000, mobilenet_adv_acc: 44.6000, mobilenet_adv_asr: 55.4000, mobilenet_fdadv_acc: 42.6000, mobilenet_fdadv_asr: 57.4000
