resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 2.6000, resnet50_adv_asr: 97.4000, resnet50_fdadv_acc: 0.9000, resnet50_fdadv_asr: 99.1000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 0.0000, densenet121_adv_asr: 100.0000, densenet121_fdadv_acc: 0.0000, densenet121_fdadv_asr: 100.0000
resnext50_benign_acc: 98.9000, resnext50_benign_asr: 1.1000, resnext50_adv_acc: 3.5000, resnext50_adv_asr: 96.5000, resnext50_fdadv_acc: 1.2000, resnext50_fdadv_asr: 98.8000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 1.0000, vgg19bn_adv_asr: 99.0000, vgg19bn_fdadv_acc: 1.1000, vgg19bn_fdadv_asr: 98.9000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 11.8000, incres_v2_adv_asr: 88.2000, incres_v2_fdadv_acc: 7.0000, incres_v2_fdadv_asr: 93.0000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 6.3000, inc_v3_adv_asr: 93.7000, inc_v3_fdadv_acc: 3.8000, inc_v3_fdadv_asr: 96.2000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 8.7000, inc_v4_adv_asr: 91.3000, inc_v4_fdadv_acc: 5.0000, inc_v4_fdadv_asr: 95.0000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 6.9000, resnet101_adv_asr: 93.1000, resnet101_fdadv_acc: 3.0000, resnet101_fdadv_asr: 97.0000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 9.2000, resnet152_adv_asr: 90.8000, resnet152_fdadv_acc: 4.1000, resnet152_fdadv_asr: 95.9000
adv_inception_v3_benign_acc: 89.0000, adv_inception_v3_benign_asr: 11.0000, adv_inception_v3_adv_acc: 43.9000, adv_inception_v3_adv_asr: 56.1000, adv_inception_v3_fdadv_acc: 42.7000, adv_inception_v3_fdadv_asr: 57.3000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 65.3000, ens_adv_inception_resnet_v2_adv_asr: 34.7000, ens_adv_inception_resnet_v2_fdadv_acc: 56.6000, ens_adv_inception_resnet_v2_fdadv_asr: 43.4000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 17.0000, visformer_small_adv_asr: 83.0000, visformer_small_fdadv_acc: 10.7000, visformer_small_fdadv_asr: 89.3000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 49.4000, vit_b_adv_asr: 50.6000, vit_b_fdadv_acc: 37.8000, vit_b_fdadv_asr: 62.2000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 45.7000, swin_b_adv_asr: 54.3000, swin_b_fdadv_acc: 38.7000, swin_b_fdadv_asr: 61.3000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 41.4000, pit_b_adv_asr: 58.6000, pit_b_fdadv_acc: 33.6000, pit_b_fdadv_asr: 66.4000
mobilenet_benign_acc: 55.7000, mobilenet_benign_asr: 44.3000, mobilenet_adv_acc: 4.2000, mobilenet_adv_asr: 95.8000, mobilenet_fdadv_acc: 3.2000, mobilenet_fdadv_asr: 96.8000
