resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 85.8000, resnet50_adv_asr: 14.2000, resnet50_fdadv_acc: 82.1000, resnet50_fdadv_asr: 17.9000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 77.0000, densenet121_adv_asr: 23.0000, densenet121_fdadv_acc: 73.5000, densenet121_fdadv_asr: 26.5000
resnext50_benign_acc: 98.9000, resnext50_benign_asr: 1.1000, resnext50_adv_acc: 87.4000, resnext50_adv_asr: 12.6000, resnext50_fdadv_acc: 84.1000, resnext50_fdadv_asr: 15.9000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 48.6000, vgg19bn_adv_asr: 51.4000, vgg19bn_fdadv_acc: 42.6000, vgg19bn_fdadv_asr: 57.4000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 83.4000, incres_v2_adv_asr: 16.6000, incres_v2_fdadv_acc: 76.4000, incres_v2_fdadv_asr: 23.6000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 67.6000, inc_v3_adv_asr: 32.4000, inc_v3_fdadv_acc: 62.1000, inc_v3_fdadv_asr: 37.9000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 80.2000, inc_v4_adv_asr: 19.8000, inc_v4_fdadv_acc: 74.2000, inc_v4_fdadv_asr: 25.8000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 90.6000, resnet101_adv_asr: 9.4000, resnet101_fdadv_acc: 89.4000, resnet101_fdadv_asr: 10.6000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 92.5000, resnet152_adv_asr: 7.5000, resnet152_fdadv_acc: 91.7000, resnet152_fdadv_asr: 8.3000
adv_inception_v3_benign_acc: 89.0000, adv_inception_v3_benign_asr: 11.0000, adv_inception_v3_adv_acc: 58.8000, adv_inception_v3_adv_asr: 41.2000, adv_inception_v3_fdadv_acc: 56.4000, adv_inception_v3_fdadv_asr: 43.6000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 1.4000, ens_adv_inception_resnet_v2_adv_asr: 98.6000, ens_adv_inception_resnet_v2_fdadv_acc: 2.1000, ens_adv_inception_resnet_v2_fdadv_asr: 97.9000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 91.9000, visformer_small_adv_asr: 8.1000, visformer_small_fdadv_acc: 88.7000, visformer_small_fdadv_asr: 11.3000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 94.7000, vit_b_adv_asr: 5.3000, vit_b_fdadv_acc: 93.7000, vit_b_fdadv_asr: 6.3000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 92.6000, swin_b_adv_asr: 7.4000, swin_b_fdadv_acc: 87.3000, swin_b_fdadv_asr: 12.7000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 93.6000, pit_b_adv_asr: 6.4000, pit_b_fdadv_acc: 91.6000, pit_b_fdadv_asr: 8.4000
mobilenet_benign_acc: 55.7000, mobilenet_benign_asr: 44.3000, mobilenet_adv_acc: 41.4000, mobilenet_adv_asr: 58.6000, mobilenet_fdadv_acc: 38.7000, mobilenet_fdadv_asr: 61.3000
