resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 27.6000, resnet50_adv_asr: 72.4000, resnet50_fdadv_acc: 17.0000, resnet50_fdadv_asr: 83.0000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 18.9000, densenet121_adv_asr: 81.1000, densenet121_fdadv_acc: 9.8000, densenet121_fdadv_asr: 90.2000
resnext50_benign_acc: 98.9000, resnext50_benign_asr: 1.1000, resnext50_adv_acc: 32.3000, resnext50_adv_asr: 67.7000, resnext50_fdadv_acc: 18.0000, resnext50_fdadv_asr: 82.0000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 11.0000, vgg19bn_adv_asr: 89.0000, vgg19bn_fdadv_acc: 8.0000, vgg19bn_fdadv_asr: 92.0000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 12.8000, incres_v2_adv_asr: 87.2000, incres_v2_fdadv_acc: 3.7000, incres_v2_fdadv_asr: 96.3000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 0.1000, inc_v3_adv_asr: 99.9000, inc_v3_fdadv_acc: 0.1000, inc_v3_fdadv_asr: 99.9000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 9.9000, inc_v4_adv_asr: 90.1000, inc_v4_fdadv_acc: 4.1000, inc_v4_fdadv_asr: 95.9000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 38.1000, resnet101_adv_asr: 61.9000, resnet101_fdadv_acc: 23.9000, resnet101_fdadv_asr: 76.1000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 41.9000, resnet152_adv_asr: 58.1000, resnet152_fdadv_acc: 26.8000, resnet152_fdadv_asr: 73.2000
adv_inception_v3_benign_acc: 89.0000, adv_inception_v3_benign_asr: 11.0000, adv_inception_v3_adv_acc: 34.6000, adv_inception_v3_adv_asr: 65.4000, adv_inception_v3_fdadv_acc: 21.9000, adv_inception_v3_fdadv_asr: 78.1000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 68.2000, ens_adv_inception_resnet_v2_adv_asr: 31.8000, ens_adv_inception_resnet_v2_fdadv_acc: 58.9000, ens_adv_inception_resnet_v2_fdadv_asr: 41.1000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 53.0000, visformer_small_adv_asr: 47.0000, visformer_small_fdadv_acc: 36.0000, visformer_small_fdadv_asr: 64.0000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 69.9000, vit_b_adv_asr: 30.1000, vit_b_fdadv_acc: 56.2000, vit_b_fdadv_asr: 43.8000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 72.1000, swin_b_adv_asr: 27.9000, swin_b_fdadv_acc: 61.9000, swin_b_fdadv_asr: 38.1000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 65.5000, pit_b_adv_asr: 34.5000, pit_b_fdadv_acc: 51.8000, pit_b_fdadv_asr: 48.2000
mobilenet_benign_acc: 55.7000, mobilenet_benign_asr: 44.3000, mobilenet_adv_acc: 18.1000, mobilenet_adv_asr: 81.9000, mobilenet_fdadv_acc: 14.6000, mobilenet_fdadv_asr: 85.4000
