resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 26.2000, resnet50_adv_asr: 73.8000, resnet50_fdadv_acc: 13.2000, resnet50_fdadv_asr: 86.8000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 17.3000, densenet121_adv_asr: 82.7000, densenet121_fdadv_acc: 8.0000, densenet121_fdadv_asr: 92.0000
resnext50_benign_acc: 98.9000, resnext50_benign_asr: 1.1000, resnext50_adv_acc: 29.5000, resnext50_adv_asr: 70.5000, resnext50_fdadv_acc: 13.8000, resnext50_fdadv_asr: 86.2000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 12.0000, vgg19bn_adv_asr: 88.0000, vgg19bn_fdadv_acc: 5.3000, vgg19bn_fdadv_asr: 94.7000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 0.2000, incres_v2_adv_asr: 99.8000, incres_v2_fdadv_acc: 0.2000, incres_v2_fdadv_asr: 99.8000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 7.4000, inc_v3_adv_asr: 92.6000, inc_v3_fdadv_acc: 2.3000, inc_v3_fdadv_asr: 97.7000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 8.7000, inc_v4_adv_asr: 91.3000, inc_v4_fdadv_acc: 2.3000, inc_v4_fdadv_asr: 97.7000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 33.5000, resnet101_adv_asr: 66.5000, resnet101_fdadv_acc: 16.6000, resnet101_fdadv_asr: 83.4000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 38.1000, resnet152_adv_asr: 61.9000, resnet152_fdadv_acc: 17.2000, resnet152_fdadv_asr: 82.8000
adv_inception_v3_benign_acc: 89.0000, adv_inception_v3_benign_asr: 11.0000, adv_inception_v3_adv_acc: 33.4000, adv_inception_v3_adv_asr: 66.6000, adv_inception_v3_fdadv_acc: 18.0000, adv_inception_v3_fdadv_asr: 82.0000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 57.8000, ens_adv_inception_resnet_v2_adv_asr: 42.2000, ens_adv_inception_resnet_v2_fdadv_acc: 36.3000, ens_adv_inception_resnet_v2_fdadv_asr: 63.7000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 45.5000, visformer_small_adv_asr: 54.5000, visformer_small_fdadv_acc: 27.4000, visformer_small_fdadv_asr: 72.6000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 63.4000, vit_b_adv_asr: 36.6000, vit_b_fdadv_acc: 45.0000, vit_b_fdadv_asr: 55.0000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 66.5000, swin_b_adv_asr: 33.5000, swin_b_fdadv_acc: 50.8000, swin_b_fdadv_asr: 49.2000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 57.2000, pit_b_adv_asr: 42.8000, pit_b_fdadv_acc: 40.1000, pit_b_fdadv_asr: 59.9000
mobilenet_benign_acc: 55.7000, mobilenet_benign_asr: 44.3000, mobilenet_adv_acc: 16.1000, mobilenet_adv_asr: 83.9000, mobilenet_fdadv_acc: 12.0000, mobilenet_fdadv_asr: 88.0000
