resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 34.7000, resnet50_adv_asr: 65.3000, resnet50_fdadv_acc: 29.9000, resnet50_fdadv_asr: 70.1000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 15.6000, densenet121_adv_asr: 84.4000, densenet121_fdadv_acc: 11.2000, densenet121_fdadv_asr: 88.8000
resnext50_benign_acc: 98.9000, resnext50_benign_asr: 1.1000, resnext50_adv_acc: 44.2000, resnext50_adv_asr: 55.8000, resnext50_fdadv_acc: 38.6000, resnext50_fdadv_asr: 61.4000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 6.4000, vgg19bn_adv_asr: 93.6000, vgg19bn_fdadv_acc: 4.4000, vgg19bn_fdadv_asr: 95.6000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 46.7000, incres_v2_adv_asr: 53.3000, incres_v2_fdadv_acc: 40.0000, incres_v2_fdadv_asr: 60.0000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 25.4000, inc_v3_adv_asr: 74.6000, inc_v3_fdadv_acc: 22.3000, inc_v3_fdadv_asr: 77.7000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 36.2000, inc_v4_adv_asr: 63.8000, inc_v4_fdadv_acc: 28.4000, inc_v4_fdadv_asr: 71.6000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 54.5000, resnet101_adv_asr: 45.5000, resnet101_fdadv_acc: 43.9000, resnet101_fdadv_asr: 56.1000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 60.0000, resnet152_adv_asr: 40.0000, resnet152_fdadv_acc: 50.0000, resnet152_fdadv_asr: 50.0000
adv_inception_v3_benign_acc: 89.0000, adv_inception_v3_benign_asr: 11.0000, adv_inception_v3_adv_acc: 51.5000, adv_inception_v3_adv_asr: 48.5000, adv_inception_v3_fdadv_acc: 54.8000, adv_inception_v3_fdadv_asr: 45.2000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 79.3000, ens_adv_inception_resnet_v2_adv_asr: 20.7000, ens_adv_inception_resnet_v2_fdadv_acc: 77.8000, ens_adv_inception_resnet_v2_fdadv_asr: 22.2000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 51.6000, visformer_small_adv_asr: 48.4000, visformer_small_fdadv_acc: 49.6000, visformer_small_fdadv_asr: 50.4000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 75.7000, vit_b_adv_asr: 24.3000, vit_b_fdadv_acc: 71.3000, vit_b_fdadv_asr: 28.7000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 68.3000, swin_b_adv_asr: 31.7000, swin_b_fdadv_acc: 72.6000, swin_b_fdadv_asr: 27.4000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 69.4000, pit_b_adv_asr: 30.6000, pit_b_fdadv_acc: 69.0000, pit_b_fdadv_asr: 31.0000
mobilenet_benign_acc: 55.7000, mobilenet_benign_asr: 44.3000, mobilenet_adv_acc: 0.0000, mobilenet_adv_asr: 100.0000, mobilenet_fdadv_acc: 0.0000, mobilenet_fdadv_asr: 100.0000
