resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 12.0000, resnet50_adv_asr: 88.0000, resnet50_fdadv_acc: 10.3000, resnet50_fdadv_asr: 89.7000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 11.9000, densenet121_adv_asr: 88.1000, densenet121_fdadv_acc: 10.9000, densenet121_fdadv_asr: 89.1000
resnext50_benign_acc: 98.9000, resnext50_benign_asr: 1.1000, resnext50_adv_acc: 10.3000, resnext50_adv_asr: 89.7000, resnext50_fdadv_acc: 9.9000, resnext50_fdadv_asr: 90.1000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 7.0000, vgg19bn_adv_asr: 93.0000, vgg19bn_fdadv_acc: 6.1000, vgg19bn_fdadv_asr: 93.9000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 20.8000, incres_v2_adv_asr: 79.2000, incres_v2_fdadv_acc: 19.5000, incres_v2_fdadv_asr: 80.5000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 14.4000, inc_v3_adv_asr: 85.6000, inc_v3_fdadv_acc: 14.2000, inc_v3_fdadv_asr: 85.8000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 14.9000, inc_v4_adv_asr: 85.1000, inc_v4_fdadv_acc: 14.7000, inc_v4_fdadv_asr: 85.3000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 13.9000, resnet101_adv_asr: 86.1000, resnet101_fdadv_acc: 12.0000, resnet101_fdadv_asr: 88.0000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 14.5000, resnet152_adv_asr: 85.5000, resnet152_fdadv_acc: 14.7000, resnet152_fdadv_asr: 85.3000
adv_inception_v3_benign_acc: 89.0000, adv_inception_v3_benign_asr: 11.0000, adv_inception_v3_adv_acc: 44.0000, adv_inception_v3_adv_asr: 56.0000, adv_inception_v3_fdadv_acc: 42.1000, adv_inception_v3_fdadv_asr: 57.9000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 67.0000, ens_adv_inception_resnet_v2_adv_asr: 33.0000, ens_adv_inception_resnet_v2_fdadv_acc: 64.7000, ens_adv_inception_resnet_v2_fdadv_asr: 35.3000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 4.4000, visformer_small_adv_asr: 95.6000, visformer_small_fdadv_acc: 3.7000, visformer_small_fdadv_asr: 96.3000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 18.0000, vit_b_adv_asr: 82.0000, vit_b_fdadv_acc: 17.5000, vit_b_fdadv_asr: 82.5000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 3.9000, swin_b_adv_asr: 96.1000, swin_b_fdadv_acc: 3.2000, swin_b_fdadv_asr: 96.8000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 0.0000, pit_b_adv_asr: 100.0000, pit_b_fdadv_acc: 0.0000, pit_b_fdadv_asr: 100.0000
mobilenet_benign_acc: 55.7000, mobilenet_benign_asr: 44.3000, mobilenet_adv_acc: 13.3000, mobilenet_adv_asr: 86.7000, mobilenet_fdadv_acc: 14.2000, mobilenet_fdadv_asr: 85.8000
