resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 1.6000, resnet50_adv_asr: 98.4000, resnet50_fdadv_acc: 1.4000, resnet50_fdadv_asr: 98.6000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 2.0000, densenet121_adv_asr: 98.0000, densenet121_fdadv_acc: 1.9000, densenet121_fdadv_asr: 98.1000
resnext50_benign_acc: 98.9000, resnext50_benign_asr: 1.1000, resnext50_adv_acc: 1.3000, resnext50_adv_asr: 98.7000, resnext50_fdadv_acc: 1.2000, resnext50_fdadv_asr: 98.8000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 3.9000, vgg19bn_adv_asr: 96.1000, vgg19bn_fdadv_acc: 3.2000, vgg19bn_fdadv_asr: 96.8000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 11.7000, incres_v2_adv_asr: 88.3000, incres_v2_fdadv_acc: 9.7000, incres_v2_fdadv_asr: 90.3000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 7.4000, inc_v3_adv_asr: 92.6000, inc_v3_fdadv_acc: 7.4000, inc_v3_fdadv_asr: 92.6000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 7.1000, inc_v4_adv_asr: 92.9000, inc_v4_fdadv_acc: 7.2000, inc_v4_fdadv_asr: 92.8000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 0.5000, resnet101_adv_asr: 99.5000, resnet101_fdadv_acc: 0.2000, resnet101_fdadv_asr: 99.8000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 1.3000, resnet152_adv_asr: 98.7000, resnet152_fdadv_acc: 0.9000, resnet152_fdadv_asr: 99.1000
adv_inception_v3_benign_acc: 89.0000, adv_inception_v3_benign_asr: 11.0000, adv_inception_v3_adv_acc: 46.7000, adv_inception_v3_adv_asr: 53.3000, adv_inception_v3_fdadv_acc: 46.4000, adv_inception_v3_fdadv_asr: 53.6000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 70.6000, ens_adv_inception_resnet_v2_adv_asr: 29.4000, ens_adv_inception_resnet_v2_fdadv_acc: 68.4000, ens_adv_inception_resnet_v2_fdadv_asr: 31.6000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 9.8000, visformer_small_adv_asr: 90.2000, visformer_small_fdadv_acc: 8.1000, visformer_small_fdadv_asr: 91.9000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 36.0000, vit_b_adv_asr: 64.0000, vit_b_fdadv_acc: 32.2000, vit_b_fdadv_asr: 67.8000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 24.5000, swin_b_adv_asr: 75.5000, swin_b_fdadv_acc: 20.6000, swin_b_fdadv_asr: 79.4000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 19.4000, pit_b_adv_asr: 80.6000, pit_b_fdadv_acc: 15.5000, pit_b_fdadv_asr: 84.5000
mobilenet_benign_acc: 55.7000, mobilenet_benign_asr: 44.3000, mobilenet_adv_acc: 10.3000, mobilenet_adv_asr: 89.7000, mobilenet_fdadv_acc: 10.7000, mobilenet_fdadv_asr: 89.3000
