resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 1.1000, resnet50_adv_asr: 98.9000, resnet50_fdadv_acc: 0.9000, resnet50_fdadv_asr: 99.1000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 2.2000, densenet121_adv_asr: 97.8000, densenet121_fdadv_acc: 2.1000, densenet121_fdadv_asr: 97.9000
resnext50_benign_acc: 98.9000, resnext50_benign_asr: 1.1000, resnext50_adv_acc: 0.3000, resnext50_adv_asr: 99.7000, resnext50_fdadv_acc: 0.2000, resnext50_fdadv_asr: 99.8000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 3.6000, vgg19bn_adv_asr: 96.4000, vgg19bn_fdadv_acc: 3.6000, vgg19bn_fdadv_asr: 96.4000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 14.7000, incres_v2_adv_asr: 85.3000, incres_v2_fdadv_acc: 12.0000, incres_v2_fdadv_asr: 88.0000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 9.1000, inc_v3_adv_asr: 90.9000, inc_v3_fdadv_acc: 7.0000, inc_v3_fdadv_asr: 93.0000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 10.3000, inc_v4_adv_asr: 89.7000, inc_v4_fdadv_acc: 6.7000, inc_v4_fdadv_asr: 93.3000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 1.7000, resnet101_adv_asr: 98.3000, resnet101_fdadv_acc: 1.2000, resnet101_fdadv_asr: 98.8000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 2.0000, resnet152_adv_asr: 98.0000, resnet152_fdadv_acc: 1.6000, resnet152_fdadv_asr: 98.4000
adv_inception_v3_benign_acc: 89.0000, adv_inception_v3_benign_asr: 11.0000, adv_inception_v3_adv_acc: 51.0000, adv_inception_v3_adv_asr: 49.0000, adv_inception_v3_fdadv_acc: 48.6000, adv_inception_v3_fdadv_asr: 51.4000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 71.8000, ens_adv_inception_resnet_v2_adv_asr: 28.2000, ens_adv_inception_resnet_v2_fdadv_acc: 71.0000, ens_adv_inception_resnet_v2_fdadv_asr: 29.0000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 9.7000, visformer_small_adv_asr: 90.3000, visformer_small_fdadv_acc: 6.8000, visformer_small_fdadv_asr: 93.2000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 39.8000, vit_b_adv_asr: 60.2000, vit_b_fdadv_acc: 35.2000, vit_b_fdadv_asr: 64.8000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 26.9000, swin_b_adv_asr: 73.1000, swin_b_fdadv_acc: 22.1000, swin_b_fdadv_asr: 77.9000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 19.5000, pit_b_adv_asr: 80.5000, pit_b_fdadv_acc: 15.2000, pit_b_fdadv_asr: 84.8000
mobilenet_benign_acc: 55.7000, mobilenet_benign_asr: 44.3000, mobilenet_adv_acc: 12.5000, mobilenet_adv_asr: 87.5000, mobilenet_fdadv_acc: 11.2000, mobilenet_fdadv_asr: 88.8000
