resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 31.8000, resnet50_adv_asr: 68.2000, resnet50_fdadv_acc: 32.4000, resnet50_fdadv_asr: 67.6000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 28.5000, densenet121_adv_asr: 71.5000, densenet121_fdadv_acc: 29.3000, densenet121_fdadv_asr: 70.7000
resnext50_benign_acc: 98.9000, resnext50_benign_asr: 1.1000, resnext50_adv_acc: 32.5000, resnext50_adv_asr: 67.5000, resnext50_fdadv_acc: 33.3000, resnext50_fdadv_asr: 66.7000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 19.0000, vgg19bn_adv_asr: 81.0000, vgg19bn_fdadv_acc: 17.7000, vgg19bn_fdadv_asr: 82.3000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 38.5000, incres_v2_adv_asr: 61.5000, incres_v2_fdadv_acc: 41.0000, incres_v2_fdadv_asr: 59.0000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 31.4000, inc_v3_adv_asr: 68.6000, inc_v3_fdadv_acc: 32.0000, inc_v3_fdadv_asr: 68.0000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 34.0000, inc_v4_adv_asr: 66.0000, inc_v4_fdadv_acc: 34.8000, inc_v4_fdadv_asr: 65.2000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 35.7000, resnet101_adv_asr: 64.3000, resnet101_fdadv_acc: 40.0000, resnet101_fdadv_asr: 60.0000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 37.9000, resnet152_adv_asr: 62.1000, resnet152_fdadv_acc: 39.6000, resnet152_fdadv_asr: 60.4000
adv_inception_v3_benign_acc: 89.0000, adv_inception_v3_benign_asr: 11.0000, adv_inception_v3_adv_acc: 55.7000, adv_inception_v3_adv_asr: 44.3000, adv_inception_v3_fdadv_acc: 55.3000, adv_inception_v3_fdadv_asr: 44.7000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 76.2000, ens_adv_inception_resnet_v2_adv_asr: 23.8000, ens_adv_inception_resnet_v2_fdadv_acc: 76.4000, ens_adv_inception_resnet_v2_fdadv_asr: 23.6000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 19.3000, visformer_small_adv_asr: 80.7000, visformer_small_fdadv_acc: 20.6000, visformer_small_fdadv_asr: 79.4000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 29.8000, vit_b_adv_asr: 70.2000, vit_b_fdadv_acc: 33.4000, vit_b_fdadv_asr: 66.6000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 0.0000, swin_b_adv_asr: 100.0000, swin_b_fdadv_acc: 0.0000, swin_b_fdadv_asr: 100.0000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 20.1000, pit_b_adv_asr: 79.9000, pit_b_fdadv_acc: 18.7000, pit_b_fdadv_asr: 81.3000
mobilenet_benign_acc: 55.7000, mobilenet_benign_asr: 44.3000, mobilenet_adv_acc: 21.6000, mobilenet_adv_asr: 78.4000, mobilenet_fdadv_acc: 22.1000, mobilenet_fdadv_asr: 77.9000
