resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 24.7000, resnet50_adv_asr: 75.3000, resnet50_fdadv_acc: 6.8000, resnet50_fdadv_asr: 93.2000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 15.7000, densenet121_adv_asr: 84.3000, densenet121_fdadv_acc: 5.0000, densenet121_fdadv_asr: 95.0000
resnext50_benign_acc: 98.9000, resnext50_benign_asr: 1.1000, resnext50_adv_acc: 34.4000, resnext50_adv_asr: 65.6000, resnext50_fdadv_acc: 10.6000, resnext50_fdadv_asr: 89.4000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 0.0000, vgg19bn_adv_asr: 100.0000, vgg19bn_fdadv_acc: 0.0000, vgg19bn_fdadv_asr: 100.0000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 44.6000, incres_v2_adv_asr: 55.4000, incres_v2_fdadv_acc: 21.3000, incres_v2_fdadv_asr: 78.7000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 25.8000, inc_v3_adv_asr: 74.2000, inc_v3_fdadv_acc: 13.7000, inc_v3_fdadv_asr: 86.3000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 29.3000, inc_v4_adv_asr: 70.7000, inc_v4_fdadv_acc: 10.0000, inc_v4_fdadv_asr: 90.0000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 44.0000, resnet101_adv_asr: 56.0000, resnet101_fdadv_acc: 15.1000, resnet101_fdadv_asr: 84.9000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 50.4000, resnet152_adv_asr: 49.6000, resnet152_fdadv_acc: 19.6000, resnet152_fdadv_asr: 80.4000
adv_inception_v3_benign_acc: 89.0000, adv_inception_v3_benign_asr: 11.0000, adv_inception_v3_adv_acc: 60.4000, adv_inception_v3_adv_asr: 39.6000, adv_inception_v3_fdadv_acc: 53.0000, adv_inception_v3_fdadv_asr: 47.0000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 82.6000, ens_adv_inception_resnet_v2_adv_asr: 17.4000, ens_adv_inception_resnet_v2_fdadv_acc: 79.0000, ens_adv_inception_resnet_v2_fdadv_asr: 21.0000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 49.9000, visformer_small_adv_asr: 50.1000, visformer_small_fdadv_acc: 22.3000, visformer_small_fdadv_asr: 77.7000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 75.4000, vit_b_adv_asr: 24.6000, vit_b_fdadv_acc: 58.2000, vit_b_fdadv_asr: 41.8000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 72.6000, swin_b_adv_asr: 27.4000, swin_b_fdadv_acc: 54.2000, swin_b_fdadv_asr: 45.8000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 67.2000, pit_b_adv_asr: 32.8000, pit_b_fdadv_acc: 46.9000, pit_b_fdadv_asr: 53.1000
mobilenet_benign_acc: 55.7000, mobilenet_benign_asr: 44.3000, mobilenet_adv_acc: 12.7000, mobilenet_adv_asr: 87.3000, mobilenet_fdadv_acc: 9.5000, mobilenet_fdadv_asr: 90.5000
