resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 1.9000, resnet50_adv_asr: 98.1000, resnet50_fdadv_acc: 1.4000, resnet50_fdadv_asr: 98.6000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 2.1000, densenet121_adv_asr: 97.9000, densenet121_fdadv_acc: 2.6000, densenet121_fdadv_asr: 97.4000
resnext50_benign_acc: 98.9000, resnext50_benign_asr: 1.1000, resnext50_adv_acc: 2.2000, resnext50_adv_asr: 97.8000, resnext50_fdadv_acc: 1.9000, resnext50_fdadv_asr: 98.1000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 1.4000, vgg19bn_adv_asr: 98.6000, vgg19bn_fdadv_acc: 1.0000, vgg19bn_fdadv_asr: 99.0000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 5.5000, incres_v2_adv_asr: 94.5000, incres_v2_fdadv_acc: 6.0000, incres_v2_fdadv_asr: 94.0000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 5.7000, inc_v3_adv_asr: 94.3000, inc_v3_fdadv_acc: 5.0000, inc_v3_fdadv_asr: 95.0000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 3.9000, inc_v4_adv_asr: 96.1000, inc_v4_fdadv_acc: 3.1000, inc_v4_fdadv_asr: 96.9000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 3.8000, resnet101_adv_asr: 96.2000, resnet101_fdadv_acc: 3.4000, resnet101_fdadv_asr: 96.6000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 3.2000, resnet152_adv_asr: 96.8000, resnet152_fdadv_acc: 3.0000, resnet152_fdadv_asr: 97.0000
adv_inception_v3_benign_acc: 89.0000, adv_inception_v3_benign_asr: 11.0000, adv_inception_v3_adv_acc: 39.9000, adv_inception_v3_adv_asr: 60.1000, adv_inception_v3_fdadv_acc: 37.4000, adv_inception_v3_fdadv_asr: 62.6000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 57.3000, ens_adv_inception_resnet_v2_adv_asr: 42.7000, ens_adv_inception_resnet_v2_fdadv_acc: 53.2000, ens_adv_inception_resnet_v2_fdadv_asr: 46.8000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 0.0000, visformer_small_adv_asr: 100.0000, visformer_small_fdadv_acc: 0.0000, visformer_small_fdadv_asr: 100.0000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 10.5000, vit_b_adv_asr: 89.5000, vit_b_fdadv_acc: 9.4000, vit_b_fdadv_asr: 90.6000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 1.8000, swin_b_adv_asr: 98.2000, swin_b_fdadv_acc: 2.0000, swin_b_fdadv_asr: 98.0000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 1.4000, pit_b_adv_asr: 98.6000, pit_b_fdadv_acc: 1.4000, pit_b_fdadv_asr: 98.6000
mobilenet_benign_acc: 55.7000, mobilenet_benign_asr: 44.3000, mobilenet_adv_acc: 6.0000, mobilenet_adv_asr: 94.0000, mobilenet_fdadv_acc: 6.2000, mobilenet_fdadv_asr: 93.8000
