resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 85.1000, resnet50_adv_asr: 14.9000, resnet50_fdadv_acc: 86.6000, resnet50_fdadv_asr: 13.4000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 75.7000, densenet121_adv_asr: 24.3000, densenet121_fdadv_acc: 76.2000, densenet121_fdadv_asr: 23.8000
resnext50_benign_acc: 98.8000, resnext50_benign_asr: 1.2000, resnext50_adv_acc: 88.0000, resnext50_adv_asr: 12.0000, resnext50_fdadv_acc: 88.1000, resnext50_fdadv_asr: 11.9000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 56.7000, vgg19bn_adv_asr: 43.3000, vgg19bn_fdadv_acc: 57.4000, vgg19bn_fdadv_asr: 42.6000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 79.5000, incres_v2_adv_asr: 20.5000, incres_v2_fdadv_acc: 79.5000, incres_v2_fdadv_asr: 20.5000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 63.9000, inc_v3_adv_asr: 36.1000, inc_v3_fdadv_acc: 63.3000, inc_v3_fdadv_asr: 36.7000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 78.0000, inc_v4_adv_asr: 22.0000, inc_v4_fdadv_acc: 77.9000, inc_v4_fdadv_asr: 22.1000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 90.3000, resnet101_adv_asr: 9.7000, resnet101_fdadv_acc: 90.2000, resnet101_fdadv_asr: 9.8000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 91.6000, resnet152_adv_asr: 8.4000, resnet152_fdadv_acc: 92.1000, resnet152_fdadv_asr: 7.9000
adv_inception_v3_benign_acc: 88.9000, adv_inception_v3_benign_asr: 11.1000, adv_inception_v3_adv_acc: 0.4000, adv_inception_v3_adv_asr: 99.6000, adv_inception_v3_fdadv_acc: 2.1000, adv_inception_v3_fdadv_asr: 97.9000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 84.7000, ens_adv_inception_resnet_v2_adv_asr: 15.3000, ens_adv_inception_resnet_v2_fdadv_acc: 84.1000, ens_adv_inception_resnet_v2_fdadv_asr: 15.9000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 91.8000, visformer_small_adv_asr: 8.2000, visformer_small_fdadv_acc: 91.4000, visformer_small_fdadv_asr: 8.6000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 94.8000, vit_b_adv_asr: 5.2000, vit_b_fdadv_acc: 95.0000, vit_b_fdadv_asr: 5.0000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 94.7000, swin_b_adv_asr: 5.3000, swin_b_fdadv_acc: 93.8000, swin_b_fdadv_asr: 6.2000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 93.9000, pit_b_adv_asr: 6.1000, pit_b_fdadv_acc: 93.6000, pit_b_fdadv_asr: 6.4000
mobilenet_benign_acc: 55.8000, mobilenet_benign_asr: 44.2000, mobilenet_adv_acc: 49.0000, mobilenet_adv_asr: 51.0000, mobilenet_fdadv_acc: 49.6000, mobilenet_fdadv_asr: 50.4000
