resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 24.5000, resnet50_adv_asr: 75.5000, resnet50_fdadv_acc: 20.8000, resnet50_fdadv_asr: 79.2000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 0.0000, densenet121_adv_asr: 100.0000, densenet121_fdadv_acc: 0.0000, densenet121_fdadv_asr: 100.0000
resnext50_benign_acc: 98.8000, resnext50_benign_asr: 1.2000, resnext50_adv_acc: 27.3000, resnext50_adv_asr: 72.7000, resnext50_fdadv_acc: 22.0000, resnext50_fdadv_asr: 78.0000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 14.5000, vgg19bn_adv_asr: 85.5000, vgg19bn_fdadv_acc: 11.7000, vgg19bn_fdadv_asr: 88.3000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 48.5000, incres_v2_adv_asr: 51.5000, incres_v2_fdadv_acc: 43.6000, incres_v2_fdadv_asr: 56.4000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 33.7000, inc_v3_adv_asr: 66.3000, inc_v3_fdadv_acc: 30.2000, inc_v3_fdadv_asr: 69.8000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 41.2000, inc_v4_adv_asr: 58.8000, inc_v4_fdadv_acc: 36.0000, inc_v4_fdadv_asr: 64.0000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 37.0000, resnet101_adv_asr: 63.0000, resnet101_fdadv_acc: 32.2000, resnet101_fdadv_asr: 67.8000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 42.9000, resnet152_adv_asr: 57.1000, resnet152_fdadv_acc: 38.0000, resnet152_fdadv_asr: 62.0000
adv_inception_v3_benign_acc: 88.9000, adv_inception_v3_benign_asr: 11.1000, adv_inception_v3_adv_acc: 61.4000, adv_inception_v3_adv_asr: 38.6000, adv_inception_v3_fdadv_acc: 60.1000, adv_inception_v3_fdadv_asr: 39.9000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 79.2000, ens_adv_inception_resnet_v2_adv_asr: 20.8000, ens_adv_inception_resnet_v2_fdadv_acc: 79.5000, ens_adv_inception_resnet_v2_fdadv_asr: 20.5000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 55.1000, visformer_small_adv_asr: 44.9000, visformer_small_fdadv_acc: 48.7000, visformer_small_fdadv_asr: 51.3000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 76.5000, vit_b_adv_asr: 23.5000, vit_b_fdadv_acc: 74.7000, vit_b_fdadv_asr: 25.3000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 74.1000, swin_b_adv_asr: 25.9000, swin_b_fdadv_acc: 68.1000, swin_b_fdadv_asr: 31.9000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 68.7000, pit_b_adv_asr: 31.3000, pit_b_fdadv_acc: 67.3000, pit_b_fdadv_asr: 32.7000
mobilenet_benign_acc: 55.8000, mobilenet_benign_asr: 44.2000, mobilenet_adv_acc: 22.7000, mobilenet_adv_asr: 77.3000, mobilenet_fdadv_acc: 20.4000, mobilenet_fdadv_asr: 79.6000
