resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 80.7000, resnet50_adv_asr: 19.3000, resnet50_fdadv_acc: 79.8000, resnet50_fdadv_asr: 20.2000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 70.5000, densenet121_adv_asr: 29.5000, densenet121_fdadv_acc: 69.9000, densenet121_fdadv_asr: 30.1000
resnext50_benign_acc: 98.8000, resnext50_benign_asr: 1.2000, resnext50_adv_acc: 80.2000, resnext50_adv_asr: 19.8000, resnext50_fdadv_acc: 79.6000, resnext50_fdadv_asr: 20.4000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 52.1000, vgg19bn_adv_asr: 47.9000, vgg19bn_fdadv_acc: 51.8000, vgg19bn_fdadv_asr: 48.2000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 68.9000, incres_v2_adv_asr: 31.1000, incres_v2_fdadv_acc: 67.8000, incres_v2_fdadv_asr: 32.2000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 61.4000, inc_v3_adv_asr: 38.6000, inc_v3_fdadv_acc: 61.5000, inc_v3_fdadv_asr: 38.5000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 69.9000, inc_v4_adv_asr: 30.1000, inc_v4_fdadv_acc: 70.2000, inc_v4_fdadv_asr: 29.8000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 84.3000, resnet101_adv_asr: 15.7000, resnet101_fdadv_acc: 83.3000, resnet101_fdadv_asr: 16.7000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 86.3000, resnet152_adv_asr: 13.7000, resnet152_fdadv_acc: 86.6000, resnet152_fdadv_asr: 13.4000
adv_inception_v3_benign_acc: 88.9000, adv_inception_v3_benign_asr: 11.1000, adv_inception_v3_adv_acc: 60.4000, adv_inception_v3_adv_asr: 39.6000, adv_inception_v3_fdadv_acc: 58.7000, adv_inception_v3_fdadv_asr: 41.3000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 1.1000, ens_adv_inception_resnet_v2_adv_asr: 98.9000, ens_adv_inception_resnet_v2_fdadv_acc: 1.2000, ens_adv_inception_resnet_v2_fdadv_asr: 98.8000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 87.1000, visformer_small_adv_asr: 12.9000, visformer_small_fdadv_acc: 86.7000, visformer_small_fdadv_asr: 13.3000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 90.6000, vit_b_adv_asr: 9.4000, vit_b_fdadv_acc: 90.2000, vit_b_fdadv_asr: 9.8000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 88.6000, swin_b_adv_asr: 11.4000, swin_b_fdadv_acc: 89.9000, swin_b_fdadv_asr: 10.1000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 89.2000, pit_b_adv_asr: 10.8000, pit_b_fdadv_acc: 89.5000, pit_b_fdadv_asr: 10.5000
mobilenet_benign_acc: 55.8000, mobilenet_benign_asr: 44.2000, mobilenet_adv_acc: 46.2000, mobilenet_adv_asr: 53.8000, mobilenet_fdadv_acc: 46.4000, mobilenet_fdadv_asr: 53.6000
