resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 46.8000, resnet50_adv_asr: 53.2000, resnet50_fdadv_acc: 45.0000, resnet50_fdadv_asr: 55.0000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 38.6000, densenet121_adv_asr: 61.4000, densenet121_fdadv_acc: 38.4000, densenet121_fdadv_asr: 61.6000
resnext50_benign_acc: 98.8000, resnext50_benign_asr: 1.2000, resnext50_adv_acc: 48.1000, resnext50_adv_asr: 51.9000, resnext50_fdadv_acc: 47.1000, resnext50_fdadv_asr: 52.9000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 23.3000, vgg19bn_adv_asr: 76.7000, vgg19bn_fdadv_acc: 20.2000, vgg19bn_fdadv_asr: 79.8000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 39.1000, incres_v2_adv_asr: 60.9000, incres_v2_fdadv_acc: 37.7000, incres_v2_fdadv_asr: 62.3000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 30.5000, inc_v3_adv_asr: 69.5000, inc_v3_fdadv_acc: 29.3000, inc_v3_fdadv_asr: 70.7000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 2.0000, inc_v4_adv_asr: 98.0000, inc_v4_fdadv_acc: 1.1000, inc_v4_fdadv_asr: 98.9000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 53.1000, resnet101_adv_asr: 46.9000, resnet101_fdadv_acc: 53.8000, resnet101_fdadv_asr: 46.2000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 56.7000, resnet152_adv_asr: 43.3000, resnet152_fdadv_acc: 55.4000, resnet152_fdadv_asr: 44.6000
adv_inception_v3_benign_acc: 88.9000, adv_inception_v3_benign_asr: 11.1000, adv_inception_v3_adv_acc: 62.2000, adv_inception_v3_adv_asr: 37.8000, adv_inception_v3_fdadv_acc: 62.4000, adv_inception_v3_fdadv_asr: 37.6000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 80.3000, ens_adv_inception_resnet_v2_adv_asr: 19.7000, ens_adv_inception_resnet_v2_fdadv_acc: 80.4000, ens_adv_inception_resnet_v2_fdadv_asr: 19.6000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 64.7000, visformer_small_adv_asr: 35.3000, visformer_small_fdadv_acc: 62.8000, visformer_small_fdadv_asr: 37.2000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 77.8000, vit_b_adv_asr: 22.2000, vit_b_fdadv_acc: 76.6000, vit_b_fdadv_asr: 23.4000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 78.7000, swin_b_adv_asr: 21.3000, swin_b_fdadv_acc: 76.4000, swin_b_fdadv_asr: 23.6000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 70.7000, pit_b_adv_asr: 29.3000, pit_b_fdadv_acc: 69.9000, pit_b_fdadv_asr: 30.1000
mobilenet_benign_acc: 55.8000, mobilenet_benign_asr: 44.2000, mobilenet_adv_acc: 32.3000, mobilenet_adv_asr: 67.7000, mobilenet_fdadv_acc: 31.9000, mobilenet_fdadv_asr: 68.1000
