resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 44.5000, resnet50_adv_asr: 55.5000, resnet50_fdadv_acc: 39.9000, resnet50_fdadv_asr: 60.1000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 32.8000, densenet121_adv_asr: 67.2000, densenet121_fdadv_acc: 31.3000, densenet121_fdadv_asr: 68.7000
resnext50_benign_acc: 98.8000, resnext50_benign_asr: 1.2000, resnext50_adv_acc: 45.1000, resnext50_adv_asr: 54.9000, resnext50_fdadv_acc: 42.1000, resnext50_fdadv_asr: 57.9000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 22.1000, vgg19bn_adv_asr: 77.9000, vgg19bn_fdadv_acc: 19.4000, vgg19bn_fdadv_asr: 80.6000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 1.3000, incres_v2_adv_asr: 98.7000, incres_v2_fdadv_acc: 1.0000, incres_v2_fdadv_asr: 99.0000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 26.2000, inc_v3_adv_asr: 73.8000, inc_v3_fdadv_acc: 22.1000, inc_v3_fdadv_asr: 77.9000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 30.1000, inc_v4_adv_asr: 69.9000, inc_v4_fdadv_acc: 24.5000, inc_v4_fdadv_asr: 75.5000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 51.3000, resnet101_adv_asr: 48.7000, resnet101_fdadv_acc: 48.8000, resnet101_fdadv_asr: 51.2000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 54.7000, resnet152_adv_asr: 45.3000, resnet152_fdadv_acc: 51.3000, resnet152_fdadv_asr: 48.7000
adv_inception_v3_benign_acc: 88.9000, adv_inception_v3_benign_asr: 11.1000, adv_inception_v3_adv_acc: 56.0000, adv_inception_v3_adv_asr: 44.0000, adv_inception_v3_fdadv_acc: 52.7000, adv_inception_v3_fdadv_asr: 47.3000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 71.4000, ens_adv_inception_resnet_v2_adv_asr: 28.6000, ens_adv_inception_resnet_v2_fdadv_acc: 70.0000, ens_adv_inception_resnet_v2_fdadv_asr: 30.0000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 63.2000, visformer_small_adv_asr: 36.8000, visformer_small_fdadv_acc: 59.4000, visformer_small_fdadv_asr: 40.6000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 75.9000, vit_b_adv_asr: 24.1000, vit_b_fdadv_acc: 74.9000, vit_b_fdadv_asr: 25.1000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 77.4000, swin_b_adv_asr: 22.6000, swin_b_fdadv_acc: 74.6000, swin_b_fdadv_asr: 25.4000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 62.5000, pit_b_adv_asr: 37.5000, pit_b_fdadv_acc: 61.9000, pit_b_fdadv_asr: 38.1000
mobilenet_benign_acc: 55.8000, mobilenet_benign_asr: 44.2000, mobilenet_adv_acc: 27.3000, mobilenet_adv_asr: 72.7000, mobilenet_fdadv_acc: 27.0000, mobilenet_fdadv_asr: 73.0000
