resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 64.7000, resnet50_adv_asr: 35.3000, resnet50_fdadv_acc: 61.9000, resnet50_fdadv_asr: 38.1000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 42.9000, densenet121_adv_asr: 57.1000, densenet121_fdadv_acc: 39.4000, densenet121_fdadv_asr: 60.6000
resnext50_benign_acc: 98.8000, resnext50_benign_asr: 1.2000, resnext50_adv_acc: 69.7000, resnext50_adv_asr: 30.3000, resnext50_fdadv_acc: 67.8000, resnext50_fdadv_asr: 32.2000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 21.1000, vgg19bn_adv_asr: 78.9000, vgg19bn_fdadv_acc: 18.3000, vgg19bn_fdadv_asr: 81.7000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 69.6000, incres_v2_adv_asr: 30.4000, incres_v2_fdadv_acc: 64.8000, incres_v2_fdadv_asr: 35.2000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 47.8000, inc_v3_adv_asr: 52.2000, inc_v3_fdadv_acc: 44.4000, inc_v3_fdadv_asr: 55.6000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 58.9000, inc_v4_adv_asr: 41.1000, inc_v4_fdadv_acc: 56.8000, inc_v4_fdadv_asr: 43.2000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 77.2000, resnet101_adv_asr: 22.8000, resnet101_fdadv_acc: 74.1000, resnet101_fdadv_asr: 25.9000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 79.9000, resnet152_adv_asr: 20.1000, resnet152_fdadv_acc: 77.7000, resnet152_fdadv_asr: 22.3000
adv_inception_v3_benign_acc: 88.9000, adv_inception_v3_benign_asr: 11.1000, adv_inception_v3_adv_acc: 63.3000, adv_inception_v3_adv_asr: 36.7000, adv_inception_v3_fdadv_acc: 61.4000, adv_inception_v3_fdadv_asr: 38.6000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 82.4000, ens_adv_inception_resnet_v2_adv_asr: 17.6000, ens_adv_inception_resnet_v2_fdadv_acc: 82.3000, ens_adv_inception_resnet_v2_fdadv_asr: 17.7000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 75.0000, visformer_small_adv_asr: 25.0000, visformer_small_fdadv_acc: 71.0000, visformer_small_fdadv_asr: 29.0000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 86.9000, vit_b_adv_asr: 13.1000, vit_b_fdadv_acc: 86.7000, vit_b_fdadv_asr: 13.3000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 83.8000, swin_b_adv_asr: 16.2000, swin_b_fdadv_acc: 81.8000, swin_b_fdadv_asr: 18.2000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 82.1000, pit_b_adv_asr: 17.9000, pit_b_fdadv_acc: 79.4000, pit_b_fdadv_asr: 20.6000
mobilenet_benign_acc: 55.8000, mobilenet_benign_asr: 44.2000, mobilenet_adv_acc: 0.0000, mobilenet_adv_asr: 100.0000, mobilenet_fdadv_acc: 0.0000, mobilenet_fdadv_asr: 100.0000
