resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 42.9000, resnet50_adv_asr: 57.1000, resnet50_fdadv_acc: 42.9000, resnet50_fdadv_asr: 57.1000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 38.7000, densenet121_adv_asr: 61.3000, densenet121_fdadv_acc: 38.9000, densenet121_fdadv_asr: 61.1000
resnext50_benign_acc: 98.8000, resnext50_benign_asr: 1.2000, resnext50_adv_acc: 42.4000, resnext50_adv_asr: 57.6000, resnext50_fdadv_acc: 41.0000, resnext50_fdadv_asr: 59.0000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 20.6000, vgg19bn_adv_asr: 79.4000, vgg19bn_fdadv_acc: 19.5000, vgg19bn_fdadv_asr: 80.5000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 55.8000, incres_v2_adv_asr: 44.2000, incres_v2_fdadv_acc: 55.9000, incres_v2_fdadv_asr: 44.1000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 43.3000, inc_v3_adv_asr: 56.7000, inc_v3_fdadv_acc: 43.5000, inc_v3_fdadv_asr: 56.5000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 50.1000, inc_v4_adv_asr: 49.9000, inc_v4_fdadv_acc: 47.7000, inc_v4_fdadv_asr: 52.3000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 50.8000, resnet101_adv_asr: 49.2000, resnet101_fdadv_acc: 49.6000, resnet101_fdadv_asr: 50.4000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 51.7000, resnet152_adv_asr: 48.3000, resnet152_fdadv_acc: 51.4000, resnet152_fdadv_asr: 48.6000
adv_inception_v3_benign_acc: 88.9000, adv_inception_v3_benign_asr: 11.1000, adv_inception_v3_adv_acc: 69.0000, adv_inception_v3_adv_asr: 31.0000, adv_inception_v3_fdadv_acc: 69.1000, adv_inception_v3_fdadv_asr: 30.9000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 82.2000, ens_adv_inception_resnet_v2_adv_asr: 17.8000, ens_adv_inception_resnet_v2_fdadv_acc: 81.7000, ens_adv_inception_resnet_v2_fdadv_asr: 18.3000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 43.0000, visformer_small_adv_asr: 57.0000, visformer_small_fdadv_acc: 40.6000, visformer_small_fdadv_asr: 59.4000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 65.4000, vit_b_adv_asr: 34.6000, vit_b_fdadv_acc: 63.3000, vit_b_fdadv_asr: 36.7000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 49.7000, swin_b_adv_asr: 50.3000, swin_b_fdadv_acc: 47.5000, swin_b_fdadv_asr: 52.5000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 0.0000, pit_b_adv_asr: 100.0000, pit_b_fdadv_acc: 0.0000, pit_b_fdadv_asr: 100.0000
mobilenet_benign_acc: 55.8000, mobilenet_benign_asr: 44.2000, mobilenet_adv_acc: 33.8000, mobilenet_adv_asr: 66.2000, mobilenet_fdadv_acc: 33.6000, mobilenet_fdadv_asr: 66.4000
