resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 27.8000, resnet50_adv_asr: 72.2000, resnet50_fdadv_acc: 24.5000, resnet50_fdadv_asr: 75.5000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 34.8000, densenet121_adv_asr: 65.2000, densenet121_fdadv_acc: 32.7000, densenet121_fdadv_asr: 67.3000
resnext50_benign_acc: 98.8000, resnext50_benign_asr: 1.2000, resnext50_adv_acc: 28.2000, resnext50_adv_asr: 71.8000, resnext50_fdadv_acc: 25.6000, resnext50_fdadv_asr: 74.4000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 26.1000, vgg19bn_adv_asr: 73.9000, vgg19bn_fdadv_acc: 24.9000, vgg19bn_fdadv_asr: 75.1000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 64.0000, incres_v2_adv_asr: 36.0000, incres_v2_fdadv_acc: 61.8000, incres_v2_fdadv_asr: 38.2000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 49.9000, inc_v3_adv_asr: 50.1000, inc_v3_fdadv_acc: 48.3000, inc_v3_fdadv_asr: 51.7000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 55.4000, inc_v4_adv_asr: 44.6000, inc_v4_fdadv_acc: 54.0000, inc_v4_fdadv_asr: 46.0000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 3.0000, resnet101_adv_asr: 97.0000, resnet101_fdadv_acc: 2.6000, resnet101_fdadv_asr: 97.4000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 30.0000, resnet152_adv_asr: 70.0000, resnet152_fdadv_acc: 28.7000, resnet152_fdadv_asr: 71.3000
adv_inception_v3_benign_acc: 88.9000, adv_inception_v3_benign_asr: 11.1000, adv_inception_v3_adv_acc: 71.6000, adv_inception_v3_adv_asr: 28.4000, adv_inception_v3_fdadv_acc: 71.3000, adv_inception_v3_fdadv_asr: 28.7000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 84.3000, ens_adv_inception_resnet_v2_adv_asr: 15.7000, ens_adv_inception_resnet_v2_fdadv_acc: 84.9000, ens_adv_inception_resnet_v2_fdadv_asr: 15.1000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 62.8000, visformer_small_adv_asr: 37.2000, visformer_small_fdadv_acc: 60.1000, visformer_small_fdadv_asr: 39.9000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 80.8000, vit_b_adv_asr: 19.2000, vit_b_fdadv_acc: 80.2000, vit_b_fdadv_asr: 19.8000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 70.7000, swin_b_adv_asr: 29.3000, swin_b_fdadv_acc: 69.4000, swin_b_fdadv_asr: 30.6000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 62.3000, pit_b_adv_asr: 37.7000, pit_b_fdadv_acc: 61.3000, pit_b_fdadv_asr: 38.7000
mobilenet_benign_acc: 55.8000, mobilenet_benign_asr: 44.2000, mobilenet_adv_acc: 38.0000, mobilenet_adv_asr: 62.0000, mobilenet_fdadv_acc: 36.1000, mobilenet_fdadv_asr: 63.9000
