resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 0.1000, resnet50_adv_asr: 99.9000, resnet50_fdadv_acc: 62.0000, resnet50_fdadv_asr: 38.0000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 35.1000, densenet121_adv_asr: 64.9000, densenet121_fdadv_acc: 74.5000, densenet121_fdadv_asr: 25.5000
resnext50_benign_acc: 98.8000, resnext50_benign_asr: 1.2000, resnext50_adv_acc: 25.9000, resnext50_adv_asr: 74.1000, resnext50_fdadv_acc: 76.7000, resnext50_fdadv_asr: 23.3000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 26.4000, vgg19bn_adv_asr: 73.6000, vgg19bn_fdadv_acc: 54.3000, vgg19bn_fdadv_asr: 45.7000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 60.9000, incres_v2_adv_asr: 39.1000, incres_v2_fdadv_acc: 85.0000, incres_v2_fdadv_asr: 15.0000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 47.3000, inc_v3_adv_asr: 52.7000, inc_v3_fdadv_acc: 74.3000, inc_v3_fdadv_asr: 25.7000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 53.5000, inc_v4_adv_asr: 46.5000, inc_v4_fdadv_acc: 79.6000, inc_v4_fdadv_asr: 20.4000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 31.9000, resnet101_adv_asr: 68.1000, resnet101_fdadv_acc: 79.6000, resnet101_fdadv_asr: 20.4000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 37.1000, resnet152_adv_asr: 62.9000, resnet152_fdadv_acc: 78.3000, resnet152_fdadv_asr: 21.7000
adv_inception_v3_benign_acc: 88.9000, adv_inception_v3_benign_asr: 11.1000, adv_inception_v3_adv_acc: 68.8000, adv_inception_v3_adv_asr: 31.2000, adv_inception_v3_fdadv_acc: 75.7000, adv_inception_v3_fdadv_asr: 24.3000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 82.9000, ens_adv_inception_resnet_v2_adv_asr: 17.1000, ens_adv_inception_resnet_v2_fdadv_acc: 87.3000, ens_adv_inception_resnet_v2_fdadv_asr: 12.7000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 59.4000, visformer_small_adv_asr: 40.6000, visformer_small_fdadv_acc: 85.0000, visformer_small_fdadv_asr: 15.0000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 80.3000, vit_b_adv_asr: 19.7000, vit_b_fdadv_acc: 91.6000, vit_b_fdadv_asr: 8.4000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 73.7000, swin_b_adv_asr: 26.3000, swin_b_fdadv_acc: 88.4000, swin_b_fdadv_asr: 11.6000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 65.7000, pit_b_adv_asr: 34.3000, pit_b_fdadv_acc: 84.6000, pit_b_fdadv_asr: 15.4000
mobilenet_benign_acc: 55.8000, mobilenet_benign_asr: 44.2000, mobilenet_adv_acc: 38.0000, mobilenet_adv_asr: 62.0000, mobilenet_fdadv_acc: 55.9000, mobilenet_fdadv_asr: 44.1000
