resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 31.8000, resnet50_adv_asr: 68.2000, resnet50_fdadv_acc: 29.0000, resnet50_fdadv_asr: 71.0000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 39.2000, densenet121_adv_asr: 60.8000, densenet121_fdadv_acc: 36.9000, densenet121_fdadv_asr: 63.1000
resnext50_benign_acc: 98.8000, resnext50_benign_asr: 1.2000, resnext50_adv_acc: 1.3000, resnext50_adv_asr: 98.7000, resnext50_fdadv_acc: 1.4000, resnext50_fdadv_asr: 98.6000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 26.8000, vgg19bn_adv_asr: 73.2000, vgg19bn_fdadv_acc: 26.7000, vgg19bn_fdadv_asr: 73.3000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 67.2000, incres_v2_adv_asr: 32.8000, incres_v2_fdadv_acc: 66.9000, incres_v2_fdadv_asr: 33.1000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 53.2000, inc_v3_adv_asr: 46.8000, inc_v3_fdadv_acc: 55.1000, inc_v3_fdadv_asr: 44.9000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 58.6000, inc_v4_adv_asr: 41.4000, inc_v4_fdadv_acc: 56.3000, inc_v4_fdadv_asr: 43.7000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 38.4000, resnet101_adv_asr: 61.6000, resnet101_fdadv_acc: 33.8000, resnet101_fdadv_asr: 66.2000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 44.8000, resnet152_adv_asr: 55.2000, resnet152_fdadv_acc: 40.5000, resnet152_fdadv_asr: 59.5000
adv_inception_v3_benign_acc: 88.9000, adv_inception_v3_benign_asr: 11.1000, adv_inception_v3_adv_acc: 62.7000, adv_inception_v3_adv_asr: 37.3000, adv_inception_v3_fdadv_acc: 63.8000, adv_inception_v3_fdadv_asr: 36.2000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 85.3000, ens_adv_inception_resnet_v2_adv_asr: 14.7000, ens_adv_inception_resnet_v2_fdadv_acc: 85.3000, ens_adv_inception_resnet_v2_fdadv_asr: 14.7000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 67.0000, visformer_small_adv_asr: 33.0000, visformer_small_fdadv_acc: 64.5000, visformer_small_fdadv_asr: 35.5000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 83.9000, vit_b_adv_asr: 16.1000, vit_b_fdadv_acc: 82.4000, vit_b_fdadv_asr: 17.6000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 75.0000, swin_b_adv_asr: 25.0000, swin_b_fdadv_acc: 74.1000, swin_b_fdadv_asr: 25.9000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 66.8000, pit_b_adv_asr: 33.2000, pit_b_fdadv_acc: 66.0000, pit_b_fdadv_asr: 34.0000
mobilenet_benign_acc: 55.8000, mobilenet_benign_asr: 44.2000, mobilenet_adv_acc: 37.6000, mobilenet_adv_asr: 62.4000, mobilenet_fdadv_acc: 37.2000, mobilenet_fdadv_asr: 62.8000
