resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 52.6000, resnet50_adv_asr: 47.4000, resnet50_fdadv_acc: 42.4000, resnet50_fdadv_asr: 57.6000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 41.6000, densenet121_adv_asr: 58.4000, densenet121_fdadv_acc: 34.9000, densenet121_fdadv_asr: 65.1000
resnext50_benign_acc: 98.8000, resnext50_benign_asr: 1.2000, resnext50_adv_acc: 56.7000, resnext50_adv_asr: 43.3000, resnext50_fdadv_acc: 48.8000, resnext50_fdadv_asr: 51.2000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 0.0000, vgg19bn_adv_asr: 100.0000, vgg19bn_fdadv_acc: 0.0000, vgg19bn_fdadv_asr: 100.0000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 69.7000, incres_v2_adv_asr: 30.3000, incres_v2_fdadv_acc: 65.2000, incres_v2_fdadv_asr: 34.8000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 51.1000, inc_v3_adv_asr: 48.9000, inc_v3_fdadv_acc: 45.9000, inc_v3_fdadv_asr: 54.1000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 55.6000, inc_v4_adv_asr: 44.4000, inc_v4_fdadv_acc: 50.0000, inc_v4_fdadv_asr: 50.0000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 67.5000, resnet101_adv_asr: 32.5000, resnet101_fdadv_acc: 57.9000, resnet101_fdadv_asr: 42.1000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 69.9000, resnet152_adv_asr: 30.1000, resnet152_fdadv_acc: 61.5000, resnet152_fdadv_asr: 38.5000
adv_inception_v3_benign_acc: 88.9000, adv_inception_v3_benign_asr: 11.1000, adv_inception_v3_adv_acc: 73.3000, adv_inception_v3_adv_asr: 26.7000, adv_inception_v3_fdadv_acc: 72.0000, adv_inception_v3_fdadv_asr: 28.0000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 85.3000, ens_adv_inception_resnet_v2_adv_asr: 14.7000, ens_adv_inception_resnet_v2_fdadv_acc: 84.3000, ens_adv_inception_resnet_v2_fdadv_asr: 15.7000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 72.5000, visformer_small_adv_asr: 27.5000, visformer_small_fdadv_acc: 65.1000, visformer_small_fdadv_asr: 34.9000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 86.4000, vit_b_adv_asr: 13.6000, vit_b_fdadv_acc: 85.2000, vit_b_fdadv_asr: 14.8000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 78.1000, swin_b_adv_asr: 21.9000, swin_b_fdadv_acc: 79.1000, swin_b_fdadv_asr: 20.9000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 77.3000, pit_b_adv_asr: 22.7000, pit_b_fdadv_acc: 72.7000, pit_b_fdadv_asr: 27.3000
mobilenet_benign_acc: 55.8000, mobilenet_benign_asr: 44.2000, mobilenet_adv_acc: 32.3000, mobilenet_adv_asr: 67.7000, mobilenet_fdadv_acc: 32.6000, mobilenet_fdadv_asr: 67.4000
