resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 55.9000, resnet50_adv_asr: 44.1000, resnet50_fdadv_acc: 52.4000, resnet50_fdadv_asr: 47.6000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 44.4000, densenet121_adv_asr: 55.6000, densenet121_fdadv_acc: 41.7000, densenet121_fdadv_asr: 58.3000
resnext50_benign_acc: 98.8000, resnext50_benign_asr: 1.2000, resnext50_adv_acc: 57.6000, resnext50_adv_asr: 42.4000, resnext50_fdadv_acc: 54.9000, resnext50_fdadv_asr: 45.1000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 27.9000, vgg19bn_adv_asr: 72.1000, vgg19bn_fdadv_acc: 24.2000, vgg19bn_fdadv_asr: 75.8000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 60.9000, incres_v2_adv_asr: 39.1000, incres_v2_fdadv_acc: 57.9000, incres_v2_fdadv_asr: 42.1000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 48.0000, inc_v3_adv_asr: 52.0000, inc_v3_fdadv_acc: 45.9000, inc_v3_fdadv_asr: 54.1000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 54.2000, inc_v4_adv_asr: 45.8000, inc_v4_fdadv_acc: 51.4000, inc_v4_fdadv_asr: 48.6000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 63.2000, resnet101_adv_asr: 36.8000, resnet101_fdadv_acc: 58.5000, resnet101_fdadv_asr: 41.5000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 63.8000, resnet152_adv_asr: 36.2000, resnet152_fdadv_acc: 60.8000, resnet152_fdadv_asr: 39.2000
adv_inception_v3_benign_acc: 88.9000, adv_inception_v3_benign_asr: 11.1000, adv_inception_v3_adv_acc: 67.5000, adv_inception_v3_adv_asr: 32.5000, adv_inception_v3_fdadv_acc: 66.4000, adv_inception_v3_fdadv_asr: 33.6000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 81.3000, ens_adv_inception_resnet_v2_adv_asr: 18.7000, ens_adv_inception_resnet_v2_fdadv_acc: 81.1000, ens_adv_inception_resnet_v2_fdadv_asr: 18.9000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 48.6000, visformer_small_adv_asr: 51.4000, visformer_small_fdadv_acc: 46.3000, visformer_small_fdadv_asr: 53.7000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 0.1000, vit_b_adv_asr: 99.9000, vit_b_fdadv_acc: 0.1000, vit_b_fdadv_asr: 99.9000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 47.3000, swin_b_adv_asr: 52.7000, swin_b_fdadv_acc: 43.4000, swin_b_fdadv_asr: 56.6000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 52.5000, pit_b_adv_asr: 47.5000, pit_b_fdadv_acc: 50.1000, pit_b_fdadv_asr: 49.9000
mobilenet_benign_acc: 55.8000, mobilenet_benign_asr: 44.2000, mobilenet_adv_acc: 36.0000, mobilenet_adv_asr: 64.0000, mobilenet_fdadv_acc: 33.9000, mobilenet_fdadv_asr: 66.1000
