resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 86.8000, resnet50_adv_asr: 13.2000, resnet50_fdadv_acc: 86.0000, resnet50_fdadv_asr: 14.0000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 76.4000, densenet121_adv_asr: 23.6000, densenet121_fdadv_acc: 75.9000, densenet121_fdadv_asr: 24.1000
resnext50_benign_acc: 98.8000, resnext50_benign_asr: 1.2000, resnext50_adv_acc: 88.8000, resnext50_adv_asr: 11.2000, resnext50_fdadv_acc: 89.0000, resnext50_fdadv_asr: 11.0000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 57.0000, vgg19bn_adv_asr: 43.0000, vgg19bn_fdadv_acc: 57.6000, vgg19bn_fdadv_asr: 42.4000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 79.5000, incres_v2_adv_asr: 20.5000, incres_v2_fdadv_acc: 79.3000, incres_v2_fdadv_asr: 20.7000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 65.0000, inc_v3_adv_asr: 35.0000, inc_v3_fdadv_acc: 64.8000, inc_v3_fdadv_asr: 35.2000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 78.6000, inc_v4_adv_asr: 21.4000, inc_v4_fdadv_acc: 78.8000, inc_v4_fdadv_asr: 21.2000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 90.3000, resnet101_adv_asr: 9.7000, resnet101_fdadv_acc: 90.2000, resnet101_fdadv_asr: 9.8000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 91.8000, resnet152_adv_asr: 8.2000, resnet152_fdadv_acc: 91.7000, resnet152_fdadv_asr: 8.3000
adv_inception_v3_benign_acc: 88.9000, adv_inception_v3_benign_asr: 11.1000, adv_inception_v3_adv_acc: 3.2000, adv_inception_v3_adv_asr: 96.8000, adv_inception_v3_fdadv_acc: 1.5000, adv_inception_v3_fdadv_asr: 98.5000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 84.9000, ens_adv_inception_resnet_v2_adv_asr: 15.1000, ens_adv_inception_resnet_v2_fdadv_acc: 84.4000, ens_adv_inception_resnet_v2_fdadv_asr: 15.6000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 92.0000, visformer_small_adv_asr: 8.0000, visformer_small_fdadv_acc: 92.2000, visformer_small_fdadv_asr: 7.8000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 94.7000, vit_b_adv_asr: 5.3000, vit_b_fdadv_acc: 94.6000, vit_b_fdadv_asr: 5.4000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 94.0000, swin_b_adv_asr: 6.0000, swin_b_fdadv_acc: 94.8000, swin_b_fdadv_asr: 5.2000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 94.0000, pit_b_adv_asr: 6.0000, pit_b_fdadv_acc: 93.9000, pit_b_fdadv_asr: 6.1000
mobilenet_benign_acc: 55.8000, mobilenet_benign_asr: 44.2000, mobilenet_adv_acc: 48.7000, mobilenet_adv_asr: 51.3000, mobilenet_fdadv_acc: 48.4000, mobilenet_fdadv_asr: 51.6000
