resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 21.1000, resnet50_adv_asr: 78.9000, resnet50_fdadv_acc: 18.6000, resnet50_fdadv_asr: 81.4000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 0.0000, densenet121_adv_asr: 100.0000, densenet121_fdadv_acc: 0.0000, densenet121_fdadv_asr: 100.0000
resnext50_benign_acc: 98.8000, resnext50_benign_asr: 1.2000, resnext50_adv_acc: 21.8000, resnext50_adv_asr: 78.2000, resnext50_fdadv_acc: 19.5000, resnext50_fdadv_asr: 80.5000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 12.4000, vgg19bn_adv_asr: 87.6000, vgg19bn_fdadv_acc: 10.1000, vgg19bn_fdadv_asr: 89.9000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 44.9000, incres_v2_adv_asr: 55.1000, incres_v2_fdadv_acc: 41.2000, incres_v2_fdadv_asr: 58.8000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 31.5000, inc_v3_adv_asr: 68.5000, inc_v3_fdadv_acc: 28.8000, inc_v3_fdadv_asr: 71.2000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 38.0000, inc_v4_adv_asr: 62.0000, inc_v4_fdadv_acc: 34.3000, inc_v4_fdadv_asr: 65.7000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 32.6000, resnet101_adv_asr: 67.4000, resnet101_fdadv_acc: 27.6000, resnet101_fdadv_asr: 72.4000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 40.2000, resnet152_adv_asr: 59.8000, resnet152_fdadv_acc: 34.5000, resnet152_fdadv_asr: 65.5000
adv_inception_v3_benign_acc: 88.9000, adv_inception_v3_benign_asr: 11.1000, adv_inception_v3_adv_acc: 61.4000, adv_inception_v3_adv_asr: 38.6000, adv_inception_v3_fdadv_acc: 59.3000, adv_inception_v3_fdadv_asr: 40.7000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 80.4000, ens_adv_inception_resnet_v2_adv_asr: 19.6000, ens_adv_inception_resnet_v2_fdadv_acc: 79.8000, ens_adv_inception_resnet_v2_fdadv_asr: 20.2000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 54.8000, visformer_small_adv_asr: 45.2000, visformer_small_fdadv_acc: 50.2000, visformer_small_fdadv_asr: 49.8000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 77.3000, vit_b_adv_asr: 22.7000, vit_b_fdadv_acc: 75.2000, vit_b_fdadv_asr: 24.8000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 71.4000, swin_b_adv_asr: 28.6000, swin_b_fdadv_acc: 69.2000, swin_b_fdadv_asr: 30.8000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 67.8000, pit_b_adv_asr: 32.2000, pit_b_fdadv_acc: 64.8000, pit_b_fdadv_asr: 35.2000
mobilenet_benign_acc: 55.8000, mobilenet_benign_asr: 44.2000, mobilenet_adv_acc: 22.0000, mobilenet_adv_asr: 78.0000, mobilenet_fdadv_acc: 19.2000, mobilenet_fdadv_asr: 80.8000
