resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 82.0000, resnet50_adv_asr: 18.0000, resnet50_fdadv_acc: 80.6000, resnet50_fdadv_asr: 19.4000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 71.0000, densenet121_adv_asr: 29.0000, densenet121_fdadv_acc: 71.6000, densenet121_fdadv_asr: 28.4000
resnext50_benign_acc: 98.8000, resnext50_benign_asr: 1.2000, resnext50_adv_acc: 81.4000, resnext50_adv_asr: 18.6000, resnext50_fdadv_acc: 80.7000, resnext50_fdadv_asr: 19.3000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 52.6000, vgg19bn_adv_asr: 47.4000, vgg19bn_fdadv_acc: 52.3000, vgg19bn_fdadv_asr: 47.7000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 72.3000, incres_v2_adv_asr: 27.7000, incres_v2_fdadv_acc: 71.0000, incres_v2_fdadv_asr: 29.0000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 63.1000, inc_v3_adv_asr: 36.9000, inc_v3_fdadv_acc: 62.9000, inc_v3_fdadv_asr: 37.1000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 72.1000, inc_v4_adv_asr: 27.9000, inc_v4_fdadv_acc: 71.0000, inc_v4_fdadv_asr: 29.0000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 84.6000, resnet101_adv_asr: 15.4000, resnet101_fdadv_acc: 84.3000, resnet101_fdadv_asr: 15.7000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 86.7000, resnet152_adv_asr: 13.3000, resnet152_fdadv_acc: 86.1000, resnet152_fdadv_asr: 13.9000
adv_inception_v3_benign_acc: 88.9000, adv_inception_v3_benign_asr: 11.1000, adv_inception_v3_adv_acc: 60.2000, adv_inception_v3_adv_asr: 39.8000, adv_inception_v3_fdadv_acc: 60.1000, adv_inception_v3_fdadv_asr: 39.9000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 17.8000, ens_adv_inception_resnet_v2_adv_asr: 82.2000, ens_adv_inception_resnet_v2_fdadv_acc: 14.4000, ens_adv_inception_resnet_v2_fdadv_asr: 85.6000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 87.0000, visformer_small_adv_asr: 13.0000, visformer_small_fdadv_acc: 87.3000, visformer_small_fdadv_asr: 12.7000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 91.4000, vit_b_adv_asr: 8.6000, vit_b_fdadv_acc: 90.7000, vit_b_fdadv_asr: 9.3000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 89.9000, swin_b_adv_asr: 10.1000, swin_b_fdadv_acc: 89.7000, swin_b_fdadv_asr: 10.3000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 89.8000, pit_b_adv_asr: 10.2000, pit_b_fdadv_acc: 90.1000, pit_b_fdadv_asr: 9.9000
mobilenet_benign_acc: 55.8000, mobilenet_benign_asr: 44.2000, mobilenet_adv_acc: 45.4000, mobilenet_adv_asr: 54.6000, mobilenet_fdadv_acc: 45.4000, mobilenet_fdadv_asr: 54.6000
