resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 40.4000, resnet50_adv_asr: 59.6000, resnet50_fdadv_acc: 38.7000, resnet50_fdadv_asr: 61.3000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 32.8000, densenet121_adv_asr: 67.2000, densenet121_fdadv_acc: 31.5000, densenet121_fdadv_asr: 68.5000
resnext50_benign_acc: 98.8000, resnext50_benign_asr: 1.2000, resnext50_adv_acc: 41.7000, resnext50_adv_asr: 58.3000, resnext50_fdadv_acc: 39.3000, resnext50_fdadv_asr: 60.7000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 18.8000, vgg19bn_adv_asr: 81.2000, vgg19bn_fdadv_acc: 16.3000, vgg19bn_fdadv_asr: 83.7000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 38.1000, incres_v2_adv_asr: 61.9000, incres_v2_fdadv_acc: 35.0000, incres_v2_fdadv_asr: 65.0000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 28.0000, inc_v3_adv_asr: 72.0000, inc_v3_fdadv_acc: 25.4000, inc_v3_fdadv_asr: 74.6000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 1.4000, inc_v4_adv_asr: 98.6000, inc_v4_fdadv_acc: 0.3000, inc_v4_fdadv_asr: 99.7000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 49.5000, resnet101_adv_asr: 50.5000, resnet101_fdadv_acc: 46.2000, resnet101_fdadv_asr: 53.8000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 54.1000, resnet152_adv_asr: 45.9000, resnet152_fdadv_acc: 50.6000, resnet152_fdadv_asr: 49.4000
adv_inception_v3_benign_acc: 88.9000, adv_inception_v3_benign_asr: 11.1000, adv_inception_v3_adv_acc: 62.0000, adv_inception_v3_adv_asr: 38.0000, adv_inception_v3_fdadv_acc: 60.0000, adv_inception_v3_fdadv_asr: 40.0000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 80.4000, ens_adv_inception_resnet_v2_adv_asr: 19.6000, ens_adv_inception_resnet_v2_fdadv_acc: 79.7000, ens_adv_inception_resnet_v2_fdadv_asr: 20.3000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 62.8000, visformer_small_adv_asr: 37.2000, visformer_small_fdadv_acc: 59.3000, visformer_small_fdadv_asr: 40.7000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 80.8000, vit_b_adv_asr: 19.2000, vit_b_fdadv_acc: 77.6000, vit_b_fdadv_asr: 22.4000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 79.0000, swin_b_adv_asr: 21.0000, swin_b_fdadv_acc: 76.4000, swin_b_fdadv_asr: 23.6000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 67.4000, pit_b_adv_asr: 32.6000, pit_b_fdadv_acc: 65.2000, pit_b_fdadv_asr: 34.8000
mobilenet_benign_acc: 55.8000, mobilenet_benign_asr: 44.2000, mobilenet_adv_acc: 31.0000, mobilenet_adv_asr: 69.0000, mobilenet_fdadv_acc: 30.4000, mobilenet_fdadv_asr: 69.6000
