resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 44.2000, resnet50_adv_asr: 55.8000, resnet50_fdadv_acc: 40.4000, resnet50_fdadv_asr: 59.6000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 33.8000, densenet121_adv_asr: 66.2000, densenet121_fdadv_acc: 31.3000, densenet121_fdadv_asr: 68.7000
resnext50_benign_acc: 98.8000, resnext50_benign_asr: 1.2000, resnext50_adv_acc: 43.0000, resnext50_adv_asr: 57.0000, resnext50_fdadv_acc: 40.5000, resnext50_fdadv_asr: 59.5000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 21.6000, vgg19bn_adv_asr: 78.4000, vgg19bn_fdadv_acc: 18.7000, vgg19bn_fdadv_asr: 81.3000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 0.4000, incres_v2_adv_asr: 99.6000, incres_v2_fdadv_acc: 0.4000, incres_v2_fdadv_asr: 99.6000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 27.4000, inc_v3_adv_asr: 72.6000, inc_v3_fdadv_acc: 22.2000, inc_v3_fdadv_asr: 77.8000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 29.0000, inc_v4_adv_asr: 71.0000, inc_v4_fdadv_acc: 24.6000, inc_v4_fdadv_asr: 75.4000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 49.7000, resnet101_adv_asr: 50.3000, resnet101_fdadv_acc: 48.5000, resnet101_fdadv_asr: 51.5000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 53.9000, resnet152_adv_asr: 46.1000, resnet152_fdadv_acc: 51.0000, resnet152_fdadv_asr: 49.0000
adv_inception_v3_benign_acc: 88.9000, adv_inception_v3_benign_asr: 11.1000, adv_inception_v3_adv_acc: 56.1000, adv_inception_v3_adv_asr: 43.9000, adv_inception_v3_fdadv_acc: 53.6000, adv_inception_v3_fdadv_asr: 46.4000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 73.5000, ens_adv_inception_resnet_v2_adv_asr: 26.5000, ens_adv_inception_resnet_v2_fdadv_acc: 72.9000, ens_adv_inception_resnet_v2_fdadv_asr: 27.1000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 65.5000, visformer_small_adv_asr: 34.5000, visformer_small_fdadv_acc: 61.4000, visformer_small_fdadv_asr: 38.6000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 78.3000, vit_b_adv_asr: 21.7000, vit_b_fdadv_acc: 75.6000, vit_b_fdadv_asr: 24.4000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 76.7000, swin_b_adv_asr: 23.3000, swin_b_fdadv_acc: 74.6000, swin_b_fdadv_asr: 25.4000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 61.7000, pit_b_adv_asr: 38.3000, pit_b_fdadv_acc: 60.4000, pit_b_fdadv_asr: 39.6000
mobilenet_benign_acc: 55.8000, mobilenet_benign_asr: 44.2000, mobilenet_adv_acc: 27.5000, mobilenet_adv_asr: 72.5000, mobilenet_fdadv_acc: 25.3000, mobilenet_fdadv_asr: 74.7000
