resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 61.4000, resnet50_adv_asr: 38.6000, resnet50_fdadv_acc: 55.5000, resnet50_fdadv_asr: 44.5000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 38.7000, densenet121_adv_asr: 61.3000, densenet121_fdadv_acc: 34.0000, densenet121_fdadv_asr: 66.0000
resnext50_benign_acc: 98.8000, resnext50_benign_asr: 1.2000, resnext50_adv_acc: 66.5000, resnext50_adv_asr: 33.5000, resnext50_fdadv_acc: 63.4000, resnext50_fdadv_asr: 36.6000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 17.8000, vgg19bn_adv_asr: 82.2000, vgg19bn_fdadv_acc: 13.0000, vgg19bn_fdadv_asr: 87.0000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 64.2000, incres_v2_adv_asr: 35.8000, incres_v2_fdadv_acc: 62.8000, incres_v2_fdadv_asr: 37.2000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 46.2000, inc_v3_adv_asr: 53.8000, inc_v3_fdadv_acc: 41.7000, inc_v3_fdadv_asr: 58.3000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 56.9000, inc_v4_adv_asr: 43.1000, inc_v4_fdadv_acc: 54.9000, inc_v4_fdadv_asr: 45.1000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 74.0000, resnet101_adv_asr: 26.0000, resnet101_fdadv_acc: 71.0000, resnet101_fdadv_asr: 29.0000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 78.1000, resnet152_adv_asr: 21.9000, resnet152_fdadv_acc: 76.8000, resnet152_fdadv_asr: 23.2000
adv_inception_v3_benign_acc: 88.9000, adv_inception_v3_benign_asr: 11.1000, adv_inception_v3_adv_acc: 60.7000, adv_inception_v3_adv_asr: 39.3000, adv_inception_v3_fdadv_acc: 60.0000, adv_inception_v3_fdadv_asr: 40.0000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 81.4000, ens_adv_inception_resnet_v2_adv_asr: 18.6000, ens_adv_inception_resnet_v2_fdadv_acc: 83.0000, ens_adv_inception_resnet_v2_fdadv_asr: 17.0000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 74.4000, visformer_small_adv_asr: 25.6000, visformer_small_fdadv_acc: 70.3000, visformer_small_fdadv_asr: 29.7000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 85.8000, vit_b_adv_asr: 14.2000, vit_b_fdadv_acc: 84.8000, vit_b_fdadv_asr: 15.2000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 80.2000, swin_b_adv_asr: 19.8000, swin_b_fdadv_acc: 81.0000, swin_b_fdadv_asr: 19.0000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 79.7000, pit_b_adv_asr: 20.3000, pit_b_fdadv_acc: 78.1000, pit_b_fdadv_asr: 21.9000
mobilenet_benign_acc: 55.8000, mobilenet_benign_asr: 44.2000, mobilenet_adv_acc: 0.0000, mobilenet_adv_asr: 100.0000, mobilenet_fdadv_acc: 0.0000, mobilenet_fdadv_asr: 100.0000
