resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 44.6000, resnet50_adv_asr: 55.4000, resnet50_fdadv_acc: 42.4000, resnet50_fdadv_asr: 57.6000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 40.2000, densenet121_adv_asr: 59.8000, densenet121_fdadv_acc: 39.0000, densenet121_fdadv_asr: 61.0000
resnext50_benign_acc: 98.8000, resnext50_benign_asr: 1.2000, resnext50_adv_acc: 41.0000, resnext50_adv_asr: 59.0000, resnext50_fdadv_acc: 41.3000, resnext50_fdadv_asr: 58.7000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 19.0000, vgg19bn_adv_asr: 81.0000, vgg19bn_fdadv_acc: 18.4000, vgg19bn_fdadv_asr: 81.6000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 55.9000, incres_v2_adv_asr: 44.1000, incres_v2_fdadv_acc: 55.4000, incres_v2_fdadv_asr: 44.6000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 45.4000, inc_v3_adv_asr: 54.6000, inc_v3_fdadv_acc: 44.6000, inc_v3_fdadv_asr: 55.4000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 50.2000, inc_v4_adv_asr: 49.8000, inc_v4_fdadv_acc: 47.6000, inc_v4_fdadv_asr: 52.4000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 50.8000, resnet101_adv_asr: 49.2000, resnet101_fdadv_acc: 48.8000, resnet101_fdadv_asr: 51.2000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 51.7000, resnet152_adv_asr: 48.3000, resnet152_fdadv_acc: 51.6000, resnet152_fdadv_asr: 48.4000
adv_inception_v3_benign_acc: 88.9000, adv_inception_v3_benign_asr: 11.1000, adv_inception_v3_adv_acc: 70.6000, adv_inception_v3_adv_asr: 29.4000, adv_inception_v3_fdadv_acc: 68.5000, adv_inception_v3_fdadv_asr: 31.5000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 82.7000, ens_adv_inception_resnet_v2_adv_asr: 17.3000, ens_adv_inception_resnet_v2_fdadv_acc: 82.6000, ens_adv_inception_resnet_v2_fdadv_asr: 17.4000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 43.9000, visformer_small_adv_asr: 56.1000, visformer_small_fdadv_acc: 42.2000, visformer_small_fdadv_asr: 57.8000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 65.8000, vit_b_adv_asr: 34.2000, vit_b_fdadv_acc: 64.6000, vit_b_fdadv_asr: 35.4000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 50.0000, swin_b_adv_asr: 50.0000, swin_b_fdadv_acc: 47.8000, swin_b_fdadv_asr: 52.2000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 0.0000, pit_b_adv_asr: 100.0000, pit_b_fdadv_acc: 0.0000, pit_b_fdadv_asr: 100.0000
mobilenet_benign_acc: 55.8000, mobilenet_benign_asr: 44.2000, mobilenet_adv_acc: 32.4000, mobilenet_adv_asr: 67.6000, mobilenet_fdadv_acc: 33.7000, mobilenet_fdadv_asr: 66.3000
