resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 24.7000, resnet50_adv_asr: 75.3000, resnet50_fdadv_acc: 24.3000, resnet50_fdadv_asr: 75.7000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 30.8000, densenet121_adv_asr: 69.2000, densenet121_fdadv_acc: 31.2000, densenet121_fdadv_asr: 68.8000
resnext50_benign_acc: 98.8000, resnext50_benign_asr: 1.2000, resnext50_adv_acc: 0.3000, resnext50_adv_asr: 99.7000, resnext50_fdadv_acc: 0.1000, resnext50_fdadv_asr: 99.9000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 23.3000, vgg19bn_adv_asr: 76.7000, vgg19bn_fdadv_acc: 22.0000, vgg19bn_fdadv_asr: 78.0000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 64.3000, incres_v2_adv_asr: 35.7000, incres_v2_fdadv_acc: 64.2000, incres_v2_fdadv_asr: 35.8000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 51.4000, inc_v3_adv_asr: 48.6000, inc_v3_fdadv_acc: 51.2000, inc_v3_fdadv_asr: 48.8000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 56.1000, inc_v4_adv_asr: 43.9000, inc_v4_fdadv_acc: 54.5000, inc_v4_fdadv_asr: 45.5000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 32.2000, resnet101_adv_asr: 67.8000, resnet101_fdadv_acc: 30.8000, resnet101_fdadv_asr: 69.2000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 38.1000, resnet152_adv_asr: 61.9000, resnet152_fdadv_acc: 36.1000, resnet152_fdadv_asr: 63.9000
adv_inception_v3_benign_acc: 88.9000, adv_inception_v3_benign_asr: 11.1000, adv_inception_v3_adv_acc: 63.4000, adv_inception_v3_adv_asr: 36.6000, adv_inception_v3_fdadv_acc: 62.9000, adv_inception_v3_fdadv_asr: 37.1000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 85.5000, ens_adv_inception_resnet_v2_adv_asr: 14.5000, ens_adv_inception_resnet_v2_fdadv_acc: 85.9000, ens_adv_inception_resnet_v2_fdadv_asr: 14.1000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 65.7000, visformer_small_adv_asr: 34.3000, visformer_small_fdadv_acc: 65.4000, visformer_small_fdadv_asr: 34.6000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 82.6000, vit_b_adv_asr: 17.4000, vit_b_fdadv_acc: 83.5000, vit_b_fdadv_asr: 16.5000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 75.6000, swin_b_adv_asr: 24.4000, swin_b_fdadv_acc: 75.0000, swin_b_fdadv_asr: 25.0000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 64.3000, pit_b_adv_asr: 35.7000, pit_b_fdadv_acc: 63.1000, pit_b_fdadv_asr: 36.9000
mobilenet_benign_acc: 55.8000, mobilenet_benign_asr: 44.2000, mobilenet_adv_acc: 37.9000, mobilenet_adv_asr: 62.1000, mobilenet_fdadv_acc: 38.5000, mobilenet_fdadv_asr: 61.5000
