resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 63.6000, resnet50_adv_asr: 36.4000, resnet50_fdadv_acc: 64.8000, resnet50_fdadv_asr: 35.2000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 62.5000, densenet121_adv_asr: 37.5000, densenet121_fdadv_acc: 61.7000, densenet121_fdadv_asr: 38.3000
resnext50_benign_acc: 98.8000, resnext50_benign_asr: 1.2000, resnext50_adv_acc: 66.1000, resnext50_adv_asr: 33.9000, resnext50_fdadv_acc: 68.3000, resnext50_fdadv_asr: 31.7000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 30.4000, vgg19bn_adv_asr: 69.6000, vgg19bn_fdadv_acc: 31.1000, vgg19bn_fdadv_asr: 68.9000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 78.5000, incres_v2_adv_asr: 21.5000, incres_v2_fdadv_acc: 78.0000, incres_v2_fdadv_asr: 22.0000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 63.4000, inc_v3_adv_asr: 36.6000, inc_v3_fdadv_acc: 64.9000, inc_v3_fdadv_asr: 35.1000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 71.1000, inc_v4_adv_asr: 28.9000, inc_v4_fdadv_acc: 72.1000, inc_v4_fdadv_asr: 27.9000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 74.8000, resnet101_adv_asr: 25.2000, resnet101_fdadv_acc: 73.9000, resnet101_fdadv_asr: 26.1000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 75.3000, resnet152_adv_asr: 24.7000, resnet152_fdadv_acc: 77.3000, resnet152_fdadv_asr: 22.7000
adv_inception_v3_benign_acc: 88.9000, adv_inception_v3_benign_asr: 11.1000, adv_inception_v3_adv_acc: 70.0000, adv_inception_v3_adv_asr: 30.0000, adv_inception_v3_fdadv_acc: 70.7000, adv_inception_v3_fdadv_asr: 29.3000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 85.7000, ens_adv_inception_resnet_v2_adv_asr: 14.3000, ens_adv_inception_resnet_v2_fdadv_acc: 85.1000, ens_adv_inception_resnet_v2_fdadv_asr: 14.9000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 66.6000, visformer_small_adv_asr: 33.4000, visformer_small_fdadv_acc: 68.1000, visformer_small_fdadv_asr: 31.9000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 80.0000, vit_b_adv_asr: 20.0000, vit_b_fdadv_acc: 80.3000, vit_b_fdadv_asr: 19.7000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 0.0000, swin_b_adv_asr: 100.0000, swin_b_fdadv_acc: 0.0000, swin_b_fdadv_asr: 100.0000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 64.6000, pit_b_adv_asr: 35.4000, pit_b_fdadv_acc: 65.2000, pit_b_fdadv_asr: 34.8000
mobilenet_benign_acc: 55.8000, mobilenet_benign_asr: 44.2000, mobilenet_adv_acc: 40.7000, mobilenet_adv_asr: 59.3000, mobilenet_fdadv_acc: 41.0000, mobilenet_fdadv_asr: 59.0000
