resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 44.9000, resnet50_adv_asr: 55.1000, resnet50_fdadv_acc: 35.9000, resnet50_fdadv_asr: 64.1000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 37.6000, densenet121_adv_asr: 62.4000, densenet121_fdadv_acc: 30.6000, densenet121_fdadv_asr: 69.4000
resnext50_benign_acc: 98.8000, resnext50_benign_asr: 1.2000, resnext50_adv_acc: 53.3000, resnext50_adv_asr: 46.7000, resnext50_fdadv_acc: 41.6000, resnext50_fdadv_asr: 58.4000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 0.0000, vgg19bn_adv_asr: 100.0000, vgg19bn_fdadv_acc: 0.0000, vgg19bn_fdadv_asr: 100.0000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 66.3000, incres_v2_adv_asr: 33.7000, incres_v2_fdadv_acc: 59.6000, incres_v2_fdadv_asr: 40.4000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 48.6000, inc_v3_adv_asr: 51.4000, inc_v3_fdadv_acc: 45.5000, inc_v3_fdadv_asr: 54.5000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 54.6000, inc_v4_adv_asr: 45.4000, inc_v4_fdadv_acc: 45.7000, inc_v4_fdadv_asr: 54.3000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 62.6000, resnet101_adv_asr: 37.4000, resnet101_fdadv_acc: 52.7000, resnet101_fdadv_asr: 47.3000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 64.7000, resnet152_adv_asr: 35.3000, resnet152_fdadv_acc: 56.5000, resnet152_fdadv_asr: 43.5000
adv_inception_v3_benign_acc: 88.9000, adv_inception_v3_benign_asr: 11.1000, adv_inception_v3_adv_acc: 74.0000, adv_inception_v3_adv_asr: 26.0000, adv_inception_v3_fdadv_acc: 71.8000, adv_inception_v3_fdadv_asr: 28.2000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 85.7000, ens_adv_inception_resnet_v2_adv_asr: 14.3000, ens_adv_inception_resnet_v2_fdadv_acc: 84.7000, ens_adv_inception_resnet_v2_fdadv_asr: 15.3000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 70.1000, visformer_small_adv_asr: 29.9000, visformer_small_fdadv_acc: 62.8000, visformer_small_fdadv_asr: 37.2000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 86.8000, vit_b_adv_asr: 13.2000, vit_b_fdadv_acc: 83.6000, vit_b_fdadv_asr: 16.4000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 75.6000, swin_b_adv_asr: 24.4000, swin_b_fdadv_acc: 74.2000, swin_b_fdadv_asr: 25.8000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 73.0000, pit_b_adv_asr: 27.0000, pit_b_fdadv_acc: 70.6000, pit_b_fdadv_asr: 29.4000
mobilenet_benign_acc: 55.8000, mobilenet_benign_asr: 44.2000, mobilenet_adv_acc: 30.2000, mobilenet_adv_asr: 69.8000, mobilenet_fdadv_acc: 27.3000, mobilenet_fdadv_asr: 72.7000
