resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 27.4000, resnet50_adv_asr: 72.6000, resnet50_fdadv_acc: 24.9000, resnet50_fdadv_asr: 75.1000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 24.6000, densenet121_adv_asr: 75.4000, densenet121_fdadv_acc: 23.5000, densenet121_fdadv_asr: 76.5000
resnext50_benign_acc: 98.8000, resnext50_benign_asr: 1.2000, resnext50_adv_acc: 27.8000, resnext50_adv_asr: 72.2000, resnext50_fdadv_acc: 23.1000, resnext50_fdadv_asr: 76.9000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 13.0000, vgg19bn_adv_asr: 87.0000, vgg19bn_fdadv_acc: 11.6000, vgg19bn_fdadv_asr: 88.4000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 48.0000, incres_v2_adv_asr: 52.0000, incres_v2_fdadv_acc: 45.9000, incres_v2_fdadv_asr: 54.1000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 35.8000, inc_v3_adv_asr: 64.2000, inc_v3_fdadv_acc: 33.6000, inc_v3_fdadv_asr: 66.4000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 34.0000, inc_v4_adv_asr: 66.0000, inc_v4_fdadv_acc: 32.0000, inc_v4_fdadv_asr: 68.0000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 35.4000, resnet101_adv_asr: 64.6000, resnet101_fdadv_acc: 32.4000, resnet101_fdadv_asr: 67.6000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 36.3000, resnet152_adv_asr: 63.7000, resnet152_fdadv_acc: 34.8000, resnet152_fdadv_asr: 65.2000
adv_inception_v3_benign_acc: 88.9000, adv_inception_v3_benign_asr: 11.1000, adv_inception_v3_adv_acc: 64.0000, adv_inception_v3_adv_asr: 36.0000, adv_inception_v3_fdadv_acc: 62.5000, adv_inception_v3_fdadv_asr: 37.5000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 80.7000, ens_adv_inception_resnet_v2_adv_asr: 19.3000, ens_adv_inception_resnet_v2_fdadv_acc: 81.9000, ens_adv_inception_resnet_v2_fdadv_asr: 18.1000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 0.0000, visformer_small_adv_asr: 100.0000, visformer_small_fdadv_acc: 0.0000, visformer_small_fdadv_asr: 100.0000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 55.1000, vit_b_adv_asr: 44.9000, vit_b_fdadv_acc: 54.0000, vit_b_fdadv_asr: 46.0000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 34.3000, swin_b_adv_asr: 65.7000, swin_b_fdadv_acc: 32.3000, swin_b_fdadv_asr: 67.7000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 27.4000, pit_b_adv_asr: 72.6000, pit_b_fdadv_acc: 27.3000, pit_b_fdadv_asr: 72.7000
mobilenet_benign_acc: 55.8000, mobilenet_benign_asr: 44.2000, mobilenet_adv_acc: 26.7000, mobilenet_adv_asr: 73.3000, mobilenet_fdadv_acc: 25.1000, mobilenet_fdadv_asr: 74.9000
