resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 92.4000, resnet50_adv_asr: 7.6000, resnet50_fdadv_acc: 92.1000, resnet50_fdadv_asr: 7.9000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 85.4000, densenet121_adv_asr: 14.6000, densenet121_fdadv_acc: 85.7000, densenet121_fdadv_asr: 14.3000
resnext50_benign_acc: 98.9000, resnext50_benign_asr: 1.1000, resnext50_adv_acc: 93.7000, resnext50_adv_asr: 6.3000, resnext50_fdadv_acc: 93.9000, resnext50_fdadv_asr: 6.1000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 63.8000, vgg19bn_adv_asr: 36.2000, vgg19bn_fdadv_acc: 65.2000, vgg19bn_fdadv_asr: 34.8000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 91.7000, incres_v2_adv_asr: 8.3000, incres_v2_fdadv_acc: 91.6000, incres_v2_fdadv_asr: 8.4000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 78.5000, inc_v3_adv_asr: 21.5000, inc_v3_fdadv_acc: 78.8000, inc_v3_fdadv_asr: 21.2000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 89.5000, inc_v4_adv_asr: 10.5000, inc_v4_fdadv_acc: 90.3000, inc_v4_fdadv_asr: 9.7000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 95.6000, resnet101_adv_asr: 4.4000, resnet101_fdadv_acc: 95.2000, resnet101_fdadv_asr: 4.8000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 96.8000, resnet152_adv_asr: 3.2000, resnet152_fdadv_acc: 96.2000, resnet152_fdadv_asr: 3.8000
adv_inception_v3_benign_acc: 89.0000, adv_inception_v3_benign_asr: 11.0000, adv_inception_v3_adv_acc: 80.3000, adv_inception_v3_adv_asr: 19.7000, adv_inception_v3_fdadv_acc: 80.3000, adv_inception_v3_fdadv_asr: 19.7000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 85.4000, ens_adv_inception_resnet_v2_adv_asr: 14.6000, ens_adv_inception_resnet_v2_fdadv_acc: 86.3000, ens_adv_inception_resnet_v2_fdadv_asr: 13.7000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 96.0000, visformer_small_adv_asr: 4.0000, visformer_small_fdadv_acc: 95.7000, visformer_small_fdadv_asr: 4.3000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 96.4000, vit_b_adv_asr: 3.6000, vit_b_fdadv_acc: 97.5000, vit_b_fdadv_asr: 2.5000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 96.5000, swin_b_adv_asr: 3.5000, swin_b_fdadv_acc: 96.1000, swin_b_fdadv_asr: 3.9000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 96.7000, pit_b_adv_asr: 3.3000, pit_b_fdadv_acc: 96.1000, pit_b_fdadv_asr: 3.9000
mobilenet_benign_acc: 55.7000, mobilenet_benign_asr: 44.3000, mobilenet_adv_acc: 53.4000, mobilenet_adv_asr: 46.6000, mobilenet_fdadv_acc: 52.8000, mobilenet_fdadv_asr: 47.2000
