resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 90.0000, resnet50_adv_asr: 10.0000, resnet50_fdadv_acc: 90.2000, resnet50_fdadv_asr: 9.8000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 81.2000, densenet121_adv_asr: 18.8000, densenet121_fdadv_acc: 80.4000, densenet121_fdadv_asr: 19.6000
resnext50_benign_acc: 98.9000, resnext50_benign_asr: 1.1000, resnext50_adv_acc: 91.2000, resnext50_adv_asr: 8.8000, resnext50_fdadv_acc: 90.1000, resnext50_fdadv_asr: 9.9000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 60.9000, vgg19bn_adv_asr: 39.1000, vgg19bn_fdadv_acc: 61.1000, vgg19bn_fdadv_asr: 38.9000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 86.0000, incres_v2_adv_asr: 14.0000, incres_v2_fdadv_acc: 85.3000, incres_v2_fdadv_asr: 14.7000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 73.8000, inc_v3_adv_asr: 26.2000, inc_v3_fdadv_acc: 73.7000, inc_v3_fdadv_asr: 26.3000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 84.3000, inc_v4_adv_asr: 15.7000, inc_v4_fdadv_acc: 84.2000, inc_v4_fdadv_asr: 15.8000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 93.4000, resnet101_adv_asr: 6.6000, resnet101_fdadv_acc: 92.2000, resnet101_fdadv_asr: 7.8000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 95.3000, resnet152_adv_asr: 4.7000, resnet152_fdadv_acc: 94.6000, resnet152_fdadv_asr: 5.4000
adv_inception_v3_benign_acc: 89.0000, adv_inception_v3_benign_asr: 11.0000, adv_inception_v3_adv_acc: 59.0000, adv_inception_v3_adv_asr: 41.0000, adv_inception_v3_fdadv_acc: 58.7000, adv_inception_v3_fdadv_asr: 41.3000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 73.0000, ens_adv_inception_resnet_v2_adv_asr: 27.0000, ens_adv_inception_resnet_v2_fdadv_acc: 71.1000, ens_adv_inception_resnet_v2_fdadv_asr: 28.9000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 93.5000, visformer_small_adv_asr: 6.5000, visformer_small_fdadv_acc: 94.5000, visformer_small_fdadv_asr: 5.5000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 96.5000, vit_b_adv_asr: 3.5000, vit_b_fdadv_acc: 96.6000, vit_b_fdadv_asr: 3.4000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 94.8000, swin_b_adv_asr: 5.2000, swin_b_fdadv_acc: 94.1000, swin_b_fdadv_asr: 5.9000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 95.3000, pit_b_adv_asr: 4.7000, pit_b_fdadv_acc: 95.1000, pit_b_fdadv_asr: 4.9000
mobilenet_benign_acc: 55.7000, mobilenet_benign_asr: 44.3000, mobilenet_adv_acc: 53.1000, mobilenet_adv_asr: 46.9000, mobilenet_fdadv_acc: 52.9000, mobilenet_fdadv_asr: 47.1000
