resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 79.9000, resnet50_adv_asr: 20.1000, resnet50_fdadv_acc: 78.8000, resnet50_fdadv_asr: 21.2000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 64.3000, densenet121_adv_asr: 35.7000, densenet121_fdadv_acc: 65.6000, densenet121_fdadv_asr: 34.4000
resnext50_benign_acc: 98.9000, resnext50_benign_asr: 1.1000, resnext50_adv_acc: 84.1000, resnext50_adv_asr: 15.9000, resnext50_fdadv_acc: 82.1000, resnext50_fdadv_asr: 17.9000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 39.8000, vgg19bn_adv_asr: 60.2000, vgg19bn_fdadv_acc: 39.3000, vgg19bn_fdadv_asr: 60.7000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 75.3000, incres_v2_adv_asr: 24.7000, incres_v2_fdadv_acc: 73.8000, incres_v2_fdadv_asr: 26.2000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 29.8000, inc_v3_adv_asr: 70.2000, inc_v3_fdadv_acc: 26.4000, inc_v3_fdadv_asr: 73.6000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 67.5000, inc_v4_adv_asr: 32.5000, inc_v4_fdadv_acc: 66.3000, inc_v4_fdadv_asr: 33.7000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 86.1000, resnet101_adv_asr: 13.9000, resnet101_fdadv_acc: 87.0000, resnet101_fdadv_asr: 13.0000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 86.8000, resnet152_adv_asr: 13.2000, resnet152_fdadv_acc: 86.9000, resnet152_fdadv_asr: 13.1000
adv_inception_v3_benign_acc: 89.0000, adv_inception_v3_benign_asr: 11.0000, adv_inception_v3_adv_acc: 65.9000, adv_inception_v3_adv_asr: 34.1000, adv_inception_v3_fdadv_acc: 65.4000, adv_inception_v3_fdadv_asr: 34.6000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 82.7000, ens_adv_inception_resnet_v2_adv_asr: 17.3000, ens_adv_inception_resnet_v2_fdadv_acc: 84.6000, ens_adv_inception_resnet_v2_fdadv_asr: 15.4000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 90.0000, visformer_small_adv_asr: 10.0000, visformer_small_fdadv_acc: 88.6000, visformer_small_fdadv_asr: 11.4000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 90.7000, vit_b_adv_asr: 9.3000, vit_b_fdadv_acc: 91.6000, vit_b_fdadv_asr: 8.4000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 93.1000, swin_b_adv_asr: 6.9000, swin_b_fdadv_acc: 93.1000, swin_b_fdadv_asr: 6.9000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 90.7000, pit_b_adv_asr: 9.3000, pit_b_fdadv_acc: 91.7000, pit_b_fdadv_asr: 8.3000
mobilenet_benign_acc: 55.7000, mobilenet_benign_asr: 44.3000, mobilenet_adv_acc: 36.6000, mobilenet_adv_asr: 63.4000, mobilenet_fdadv_acc: 37.0000, mobilenet_fdadv_asr: 63.0000
