resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 77.0000, resnet50_adv_asr: 23.0000, resnet50_fdadv_acc: 74.2000, resnet50_fdadv_asr: 25.8000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 64.0000, densenet121_adv_asr: 36.0000, densenet121_fdadv_acc: 61.8000, densenet121_fdadv_asr: 38.2000
resnext50_benign_acc: 98.9000, resnext50_benign_asr: 1.1000, resnext50_adv_acc: 78.6000, resnext50_adv_asr: 21.4000, resnext50_fdadv_acc: 79.3000, resnext50_fdadv_asr: 20.7000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 36.7000, vgg19bn_adv_asr: 63.3000, vgg19bn_fdadv_acc: 35.6000, vgg19bn_fdadv_asr: 64.4000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 52.5000, incres_v2_adv_asr: 47.5000, incres_v2_fdadv_acc: 49.4000, incres_v2_fdadv_asr: 50.6000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 58.6000, inc_v3_adv_asr: 41.4000, inc_v3_fdadv_acc: 56.4000, inc_v3_fdadv_asr: 43.6000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 68.1000, inc_v4_adv_asr: 31.9000, inc_v4_fdadv_acc: 66.9000, inc_v4_fdadv_asr: 33.1000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 84.6000, resnet101_adv_asr: 15.4000, resnet101_fdadv_acc: 84.8000, resnet101_fdadv_asr: 15.2000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 85.2000, resnet152_adv_asr: 14.8000, resnet152_fdadv_acc: 85.1000, resnet152_fdadv_asr: 14.9000
adv_inception_v3_benign_acc: 89.0000, adv_inception_v3_benign_asr: 11.0000, adv_inception_v3_adv_acc: 66.2000, adv_inception_v3_adv_asr: 33.8000, adv_inception_v3_fdadv_acc: 65.7000, adv_inception_v3_fdadv_asr: 34.3000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 80.4000, ens_adv_inception_resnet_v2_adv_asr: 19.6000, ens_adv_inception_resnet_v2_fdadv_acc: 79.7000, ens_adv_inception_resnet_v2_fdadv_asr: 20.3000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 87.5000, visformer_small_adv_asr: 12.5000, visformer_small_fdadv_acc: 87.5000, visformer_small_fdadv_asr: 12.5000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 89.5000, vit_b_adv_asr: 10.5000, vit_b_fdadv_acc: 90.4000, vit_b_fdadv_asr: 9.6000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 88.6000, swin_b_adv_asr: 11.4000, swin_b_fdadv_acc: 89.6000, swin_b_fdadv_asr: 10.4000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 88.3000, pit_b_adv_asr: 11.7000, pit_b_fdadv_acc: 87.7000, pit_b_fdadv_asr: 12.3000
mobilenet_benign_acc: 55.7000, mobilenet_benign_asr: 44.3000, mobilenet_adv_acc: 32.3000, mobilenet_adv_asr: 67.7000, mobilenet_fdadv_acc: 32.9000, mobilenet_fdadv_asr: 67.1000
