resnet50_benign_acc: 96.0000, resnet50_benign_asr: 4.0000, resnet50_adv_acc: 78.8000, resnet50_adv_asr: 21.2000, resnet50_fdadv_acc: 78.6000, resnet50_fdadv_asr: 21.4000
densenet121_benign_acc: 91.1000, densenet121_benign_asr: 8.9000, densenet121_adv_acc: 68.4000, densenet121_adv_asr: 31.6000, densenet121_fdadv_acc: 67.6000, densenet121_fdadv_asr: 32.4000
resnext50_benign_acc: 98.9000, resnext50_benign_asr: 1.1000, resnext50_adv_acc: 81.6000, resnext50_adv_asr: 18.4000, resnext50_fdadv_acc: 82.0000, resnext50_fdadv_asr: 18.0000
vgg19bn_benign_acc: 71.5000, vgg19bn_benign_asr: 28.5000, vgg19bn_adv_acc: 47.0000, vgg19bn_adv_asr: 53.0000, vgg19bn_fdadv_acc: 45.8000, vgg19bn_fdadv_asr: 54.2000
incres_v2_benign_acc: 95.7000, incres_v2_benign_asr: 4.3000, incres_v2_adv_acc: 81.9000, incres_v2_adv_asr: 18.1000, incres_v2_fdadv_acc: 82.2000, incres_v2_fdadv_asr: 17.8000
inc_v3_benign_acc: 85.2000, inc_v3_benign_asr: 14.8000, inc_v3_adv_acc: 69.3000, inc_v3_adv_asr: 30.7000, inc_v3_fdadv_acc: 67.7000, inc_v3_fdadv_asr: 32.3000
inc_v4_benign_acc: 94.0000, inc_v4_benign_asr: 6.0000, inc_v4_adv_acc: 78.7000, inc_v4_adv_asr: 21.3000, inc_v4_fdadv_acc: 77.0000, inc_v4_fdadv_asr: 23.0000
resnet101_benign_acc: 98.5000, resnet101_benign_asr: 1.5000, resnet101_adv_acc: 68.5000, resnet101_adv_asr: 31.5000, resnet101_fdadv_acc: 67.0000, resnet101_fdadv_asr: 33.0000
resnet152_benign_acc: 98.8000, resnet152_benign_asr: 1.2000, resnet152_adv_acc: 85.8000, resnet152_adv_asr: 14.2000, resnet152_fdadv_acc: 83.4000, resnet152_fdadv_asr: 16.6000
adv_inception_v3_benign_acc: 89.0000, adv_inception_v3_benign_asr: 11.0000, adv_inception_v3_adv_acc: 69.4000, adv_inception_v3_adv_asr: 30.6000, adv_inception_v3_fdadv_acc: 68.9000, adv_inception_v3_fdadv_asr: 31.1000
ens_adv_inception_resnet_v2_benign_acc: 93.8000, ens_adv_inception_resnet_v2_benign_asr: 6.2000, ens_adv_inception_resnet_v2_adv_acc: 85.9000, ens_adv_inception_resnet_v2_adv_asr: 14.1000, ens_adv_inception_resnet_v2_fdadv_acc: 83.9000, ens_adv_inception_resnet_v2_fdadv_asr: 16.1000
visformer_small_benign_acc: 97.9000, visformer_small_benign_asr: 2.1000, visformer_small_adv_acc: 89.6000, visformer_small_adv_asr: 10.4000, visformer_small_fdadv_acc: 88.2000, visformer_small_fdadv_asr: 11.8000
vit_b_benign_acc: 97.8000, vit_b_benign_asr: 2.2000, vit_b_adv_acc: 92.4000, vit_b_adv_asr: 7.6000, vit_b_fdadv_acc: 92.1000, vit_b_fdadv_asr: 7.9000
swin_b_benign_acc: 98.0000, swin_b_benign_asr: 2.0000, swin_b_adv_acc: 89.8000, swin_b_adv_asr: 10.2000, swin_b_fdadv_acc: 90.4000, swin_b_fdadv_asr: 9.6000
pit_b_benign_acc: 97.9000, pit_b_benign_asr: 2.1000, pit_b_adv_acc: 92.0000, pit_b_adv_asr: 8.0000, pit_b_fdadv_acc: 91.0000, pit_b_fdadv_asr: 9.0000
mobilenet_benign_acc: 55.7000, mobilenet_benign_asr: 44.3000, mobilenet_adv_acc: 41.6000, mobilenet_adv_asr: 58.4000, mobilenet_fdadv_acc: 41.4000, mobilenet_fdadv_asr: 58.6000
